Sample	r_with_adapters	bp_processed	bp_written	r_processed	quality_trimmed	percent_trimmed
Sample_PRO1747_PlateG_A9_R1	4277637	2253648348	2226671305	18049592	7015123	1.1970387049932067
Sample_PRO1747_PlateG_A9_R2	4426146	2274248592	2237822484	18049592	16508586	1.601676620934674
Sample_PRO1747_PlateG_B10_R1	2127436	1019859594	999892041	8166078	3316050	1.9578727422355355
Sample_PRO1747_PlateG_B10_R2	2211894	1028925828	1005302310	8166078	6948373	2.2959398391154004
Sample_PRO1747_PlateG_B11_R1	2957845	1522438662	1502838344	12184325	6960256	1.2874290760753158
Sample_PRO1747_PlateG_B11_R2	3059130	1535224950	1512769423	12184325	9687559	1.4626864291125545
Sample_PRO1747_PlateG_B12_R1	3117475	1510226652	1487807549	12088587	5226107	1.4844859856174755
Sample_PRO1747_PlateG_B12_R2	3230489	1523161962	1495708764	12088587	10214832	1.8023820634249794
Sample_PRO1747_PlateG_B1_R1	4176557	2201325648	2173203403	17623451	7482598	1.2775140754640406
Sample_PRO1747_PlateG_B1_R2	4307796	2220554826	2186132978	17623451	13689487	1.5501462786219897
Sample_PRO1747_PlateG_B2_R1	4085395	2170300962	2142574734	17379264	6792736	1.2775291761585645
Sample_PRO1747_PlateG_B2_R2	4192971	2189787264	2153115251	17379264	15896085	1.674683819879957
Sample_PRO1747_PlateG_B3_R1	3249849	1680721818	1656085203	13459095	5196313	1.4658353771665027
Sample_PRO1747_PlateG_B3_R2	3353391	1695845970	1664452935	13459095	11950527	1.8511725448744618
Sample_PRO1747_PlateG_B4_R1	3643728	1863469662	1837948851	14922149	6308946	1.3695318748902712
Sample_PRO1747_PlateG_B4_R2	3751845	1880190774	1848482729	14922149	12545942	1.686427007220279
Sample_PRO1747_PlateG_B5_R1	2550315	1303354026	1289681427	10427781	5395100	1.0490318614322522
Sample_PRO1747_PlateG_B5_R2	2642153	1313900406	1297693895	10427781	7822586	1.233465712164488
Sample_PRO1747_PlateG_B6_R1	2300767	1208161884	1193453960	9666986	6952134	1.21738023643858
Sample_PRO1747_PlateG_B6_R2	2419319	1218040236	1199931431	9666986	10131456	1.4867164864330475
Sample_PRO1747_PlateG_B7_R1	2346003	1362091728	1344451259	10907814	6597887	1.295101397165228
Sample_PRO1747_PlateG_B7_R2	2499666	1374384564	1354422943	10907814	8707925	1.4524043359381036
Sample_PRO1747_PlateG_B8_R1	245562	121301700	119292022	968582	885516	1.6567599629683671
Sample_PRO1747_PlateG_B8_R2	267940	122041332	119897397	968582	1014003	1.756728613876486
Sample_PRO1747_PlateG_B9_R1	3886133	2040235302	2021251550	16340364	5666792	0.9304687543339056
Sample_PRO1747_PlateG_B9_R2	3984900	2058885864	2031222209	16340364	14368130	1.3436225622655495
Sample_PRO1747_PlateG_C10_R1	3607239	1788083124	1763157051	14319533	5682448	1.3940108636694455
Sample_PRO1747_PlateG_C10_R2	3719532	1804261158	1771066041	14319533	13980611	1.839817747714325
Sample_PRO1747_PlateG_C11_R1	3102292	1612384674	1588874158	12910543	7126906	1.4581207809222827
Sample_PRO1747_PlateG_C11_R2	3247085	1626728418	1598736370	12910543	11393969	1.72075729975967
Sample_PRO1747_PlateG_C12_R1	3722481	1739620200	1708561681	13930012	5263062	1.7853620577641025
Sample_PRO1747_PlateG_C12_R2	3794868	1755181512	1717969048	13930012	11517163	2.1201490413146513
Sample_PRO1747_PlateG_C1_R1	3387067	1793747322	1767946298	14358921	7028268	1.438386760696722
Sample_PRO1747_PlateG_C1_R2	3470903	1809224046	1778351185	14358921	12187983	1.706414474661476
Sample_PRO1747_PlateG_C2_R1	2341539	1211452134	1197183438	9696752	6351551	1.1778175628687282
Sample_PRO1747_PlateG_C2_R2	2456587	1221790752	1204138105	9696752	9597009	1.4448175328798036
Sample_PRO1747_PlateG_C3_R1	2404618	1215868734	1200058583	9735730	4667488	1.3003172594123142
Sample_PRO1747_PlateG_C3_R2	2506038	1226701980	1208590851	9735730	6847227	1.4764082307913124
Sample_PRO1747_PlateG_C4_R1	2962163	1519228896	1497571016	12163581	6451378	1.4255837324463319
Sample_PRO1747_PlateG_C4_R2	3052216	1532611206	1505732614	12163581	11633826	1.7537775983089088
Sample_PRO1747_PlateG_C5_R1	3529033	1845959472	1825080345	14778690	6669195	1.1310717985253795
Sample_PRO1747_PlateG_C5_R2	3622118	1862114940	1832335740	14778690	15617477	1.5992138487434078
Sample_PRO1747_PlateG_C6_R1	2245763	1114612080	1098198921	8923048	5856097	1.4725445107323796
Sample_PRO1747_PlateG_C6_R2	2339929	1124304048	1103614531	8923048	9959762	1.8402065737292443
Sample_PRO1747_PlateG_C7_R1	3513201	1913820924	1892081548	15328637	6642906	1.1359148459179453
Sample_PRO1747_PlateG_C7_R2	3601067	1931408262	1903330407	15328637	13016012	1.453750382683203
Sample_PRO1747_PlateG_C8_R1	2353171	1372499016	1358292696	10990065	6271960	1.0350695945416983
Sample_PRO1747_PlateG_C8_R2	2472289	1384748190	1367753158	10990065	8960672	1.227301261177312
Sample_PRO1747_PlateG_C9_R1	2921392	1494392784	1474581328	11965943	7580496	1.3257194635918423
Sample_PRO1747_PlateG_C9_R2	3070732	1507708818	1484990689	11965943	10301586	1.5067981780550945
Sample_PRO1747_PlateG_D10_R1	1555203	790812732	779336863	6329826	3289688	1.4511487404833538
Sample_PRO1747_PlateG_D10_R2	1609033	797558076	783161761	6329826	6235263	1.8050491159467614
Sample_PRO1747_PlateG_D11_R1	3307928	1641963600	1615520864	13147612	8160124	1.6104337513937579
Sample_PRO1747_PlateG_D11_R2	3448845	1656599112	1625968075	13147612	12097309	1.8490313545453596
Sample_PRO1747_PlateG_D12_R1	3302288	1692663480	1666123450	13552019	5765249	1.5679448581238369
Sample_PRO1747_PlateG_D12_R2	3386785	1707554394	1676073255	13552019	10645640	1.843639014406706
Sample_PRO1747_PlateG_D1_R1	2356746	1246587792	1231765776	9976302	6482928	1.1890069913343095
Sample_PRO1747_PlateG_D1_R2	2479282	1257014052	1240095294	9976302	8461472	1.3459481994716793
Sample_PRO1747_PlateG_D2_R1	2448923	1248169122	1228125609	9992207	6833160	1.605833107606711
Sample_PRO1747_PlateG_D2_R2	2555210	1259018082	1237456512	9992207	8244087	1.7125703203363523
Sample_PRO1747_PlateG_D3_R1	3822542	1938065226	1910237508	15519307	6897659	1.4358504361297488
Sample_PRO1747_PlateG_D3_R2	3954797	1955432682	1921181639	15519307	13207427	1.751583847160022
Sample_PRO1747_PlateG_D4_R1	3134114	1570921254	1550147902	12578687	5412693	1.3223674927756754
Sample_PRO1747_PlateG_D4_R2	3234487	1584914562	1559310757	12578687	10162668	1.6154690993368512
Sample_PRO1747_PlateG_D5_R1	2558706	1303383780	1289423194	10428037	5931688	1.0711032478860525
Sample_PRO1747_PlateG_D5_R2	2622366	1313932662	1297828286	10428037	7992148	1.2256622021623813
Sample_PRO1747_PlateG_D6_R1	2561741	1408911486	1389111335	11277491	10427770	1.405350953324544
Sample_PRO1747_PlateG_D6_R2	2774270	1420963866	1399795344	11277491	11435370	1.4897297888080145
Sample_PRO1747_PlateG_D7_R1	3141000	1608930198	1590965283	12884173	7096524	1.1165751641886954
Sample_PRO1747_PlateG_D7_R2	3297939	1623405798	1602509168	12884173	9957127	1.2872092748309871
Sample_PRO1747_PlateG_D8_R1	2655258	1377982596	1359023112	11035030	6745417	1.3758870434964476
Sample_PRO1747_PlateG_D8_R2	2807486	1390413780	1368451594	11035030	9548143	1.5795431774273698
Sample_PRO1747_PlateG_D9_R1	3066458	1613655066	1588214118	12922431	5890228	1.576603856427889
Sample_PRO1747_PlateG_D9_R2	3166343	1628226306	1597624127	12922431	11428565	1.8794794610080447
Sample_PRO1747_PlateG_E10_R1	770838	376458186	369911899	3012644	2406782	1.7389147702050503
Sample_PRO1747_PlateG_E10_R2	818446	379593144	372062585	3012644	3324252	1.983850108736421
Sample_PRO1747_PlateG_E11_R1	2701719	1306412952	1285256768	10461906	7473415	1.6194101541638726
Sample_PRO1747_PlateG_E11_R2	2860204	1318200156	1294897830	10461906	9280297	1.7677380702722356
Sample_PRO1747_PlateG_E12_R1	1709764	890198370	878723788	7121413	6470741	1.2889915761135353
Sample_PRO1747_PlateG_E12_R2	1803267	897298038	886412589	7121413	5675523	1.2131363871320533
Sample_PRO1747_PlateG_E1_R1	4405005	2064951552	2036595465	16530871	7104153	1.3732083434372024
Sample_PRO1747_PlateG_E1_R2	4550105	2082889746	2047842181	16530871	13912280	1.6826413912356935
Sample_PRO1747_PlateG_E2_R1	3747656	1848628620	1822045883	14801884	6929218	1.4379706509141896
Sample_PRO1747_PlateG_E2_R2	3890300	1865037384	1831592804	14801884	13813164	1.7932391214738246
Sample_PRO1747_PlateG_E3_R1	3570468	2048837112	2027484686	16405165	8794352	1.0421729416623335
Sample_PRO1747_PlateG_E3_R2	3725411	2067050790	2042775356	16405165	11512256	1.1743994931058273
Sample_PRO1747_PlateG_E4_R1	2350072	1241690256	1225376248	9940415	6056630	1.3138548781524786
Sample_PRO1747_PlateG_E4_R2	2476302	1252492290	1233921290	9940415	8084193	1.482723698043682
Sample_PRO1747_PlateG_E5_R1	3043817	1587252912	1563929486	12703332	9320717	1.4694208984383959
Sample_PRO1747_PlateG_E5_R2	3221877	1600619832	1572054078	12703332	14320277	1.7846682534419578
Sample_PRO1747_PlateG_E6_R1	4433005	2156668110	2130291637	17269976	5972688	1.2230195679018965
Sample_PRO1747_PlateG_E6_R2	4564383	2176016976	2137714112	17269976	17992626	1.7602281793963357
Sample_PRO1747_PlateG_E7_R1	2181749	1147367712	1132664403	9189093	5743339	1.2814818515652984
Sample_PRO1747_PlateG_E7_R2	2293868	1157825718	1141053336	9189093	7730909	1.4486102475744107
Sample_PRO1747_PlateG_E8_R1	3194173	1643477094	1622696154	13160222	7782913	1.264449627917966
Sample_PRO1747_PlateG_E8_R2	3357897	1658187972	1633168988	13160222	11901264	1.5088147075282248
Sample_PRO1747_PlateG_E9_R1	3402192	1645316370	1617892444	13176032	7655029	1.6667874033247476
Sample_PRO1747_PlateG_E9_R2	3573351	1660180032	1629086333	13176032	11401273	1.872911274721319
Sample_PRO1747_PlateG_F10_R1	1165941	632007114	622575860	5056714	3508825	1.4922702278316442
Sample_PRO1747_PlateG_F10_R2	1261473	637145964	626966769	5056714	4124150	1.5976237118563934
Sample_PRO1747_PlateG_F11_R1	2856979	1618116780	1602042575	12956540	6896068	0.9933896736427145
Sample_PRO1747_PlateG_F11_R2	3002442	1632524040	1613971083	12956540	9175666	1.1364584254453
Sample_PRO1747_PlateG_F12_R1	1927298	978244458	964502570	7827969	4913259	1.4047498953477333
Sample_PRO1747_PlateG_F12_R2	2026534	986324094	971725290	7827969	5557724	1.4801224150162553
Sample_PRO1747_PlateG_F1_R1	3118871	1689638460	1667015837	13526667	6432882	1.3389031757716974
Sample_PRO1747_PlateG_F1_R2	3251894	1704360042	1677211457	13526667	10848184	1.5928902538774727
Sample_PRO1747_PlateG_F2_R1	2685900	1398244956	1379692787	11192139	8123978	1.3268182316975938
Sample_PRO1747_PlateG_F2_R2	2806340	1410209514	1389860510	11192139	9671054	1.442977358894772
Sample_PRO1747_PlateG_F3_R1	2765029	1456187220	1436607783	11657032	7486991	1.3445686606149447
Sample_PRO1747_PlateG_F3_R2	2896691	1468786032	1446090846	11657032	10576325	1.5451662465156124
Sample_PRO1747_PlateG_F4_R1	2509221	1300793508	1284393861	10408514	5670758	1.2607417625580586
Sample_PRO1747_PlateG_F4_R2	2547762	1311472764	1292544888	10408514	8169780	1.4432534566916864
Sample_PRO1747_PlateG_F5_R1	3894599	1985999046	1968863136	15904070	6202309	0.8628357619060004
Sample_PRO1747_PlateG_F5_R2	4001269	2003912820	1979331185	15904070	13603002	1.2266818573474667
Sample_PRO1747_PlateG_F6_R1	2282617	1216585464	1199618806	9738569	4996359	1.3946129147569695
Sample_PRO1747_PlateG_F6_R2	2354748	1227059694	1206029088	9738569	9046755	1.7139024370887699
Sample_PRO1747_PlateG_F7_R1	1895516	957174522	941060122	7664011	5173971	1.683538333879723
Sample_PRO1747_PlateG_F7_R2	1986358	965665386	948239141	7664011	6375057	1.8045842020063874
Sample_PRO1747_PlateG_F8_R1	2365517	1166303478	1150426808	9341692	6295880	1.3612812016324967
Sample_PRO1747_PlateG_F8_R2	2481533	1177053192	1156646938	9341692	10779063	1.7336730522200563
Sample_PRO1747_PlateG_F9_R1	3290869	1699014030	1675860080	13606603	8218466	1.3627874514962068
Sample_PRO1747_PlateG_F9_R2	3451391	1714431978	1685971330	13606603	13378799	1.6600628292760415
Sample_PRO1747_PlateG_G10_R1	2747025	1443317220	1422811944	11555597	7386857	1.4207047290684995
Sample_PRO1747_PlateG_G10_R2	2856173	1456005222	1433193611	11555597	9501462	1.5667259056025555
Sample_PRO1747_PlateG_G11_R1	2430762	1327204056	1310969500	10628193	7595234	1.223214766908458
Sample_PRO1747_PlateG_G11_R2	2559855	1339152318	1321932116	10628193	8346675	1.2859031619135053
Sample_PRO1747_PlateG_G12_R1	3246076	1663276284	1635859284	13316116	6105964	1.648373169493229
Sample_PRO1747_PlateG_G12_R2	3320631	1677830616	1645709327	13316116	10928443	1.9144536220574007
Sample_PRO1747_PlateG_G1_R1	3296434	1483946676	1454592464	11879545	4923777	1.978117709668969
Sample_PRO1747_PlateG_G1_R2	3401310	1496822670	1463020583	11879545	9508463	2.258255949584195
Sample_PRO1747_PlateG_G2_R1	3594885	1767376614	1736403185	14152435	4436616	1.7525087044067904
Sample_PRO1747_PlateG_G2_R2	3677197	1783206810	1744774917	14152435	12240502	2.155212327839865
Sample_PRO1747_PlateG_G3_R1	3115963	1723112592	1703619167	13794193	8832367	1.1312914252094328
Sample_PRO1747_PlateG_G3_R2	3279708	1738068318	1715852167	13794193	11389445	1.27820930684498
Sample_PRO1747_PlateG_G4_R1	1643627	881024634	869082384	7046068	3676794	1.3554955831121516
Sample_PRO1747_PlateG_G4_R2	1732398	887804568	872466872	7046068	7036220	1.7275982297040848
Sample_PRO1747_PlateG_G5_R1	2397102	1150182354	1133737248	9203104	6225048	1.4297824986454277
Sample_PRO1747_PlateG_G5_R2	2510982	1159591104	1138099749	9203104	11216376	1.8533563189529263
Sample_PRO1747_PlateG_G6_R1	3521923	1593553266	1566093027	12758330	4489141	1.72320810266533
Sample_PRO1747_PlateG_G6_R2	3620970	1607549580	1574150242	12758330	10478764	2.0776552347455435
Sample_PRO1747_PlateG_G7_R1	2323579	1234969350	1217411684	9888580	7035364	1.4217086440242424
Sample_PRO1747_PlateG_G7_R2	2479754	1245961080	1227260222	9888580	8027081	1.50091831118834
Sample_PRO1747_PlateG_G8_R1	3170333	1626280320	1611295091	13025525	5618827	0.9214419442768635
Sample_PRO1747_PlateG_G8_R2	3306758	1641216150	1620197496	13025525	11583012	1.2806755526991371
Sample_PRO1747_PlateG_G9_R1	3362214	1635491322	1614871629	13099690	5486227	1.2607644395682094
Sample_PRO1747_PlateG_G9_R2	3491944	1650560940	1623376091	13099690	12056271	1.6470066836793071
Sample_PRO1747_PlateG_H10_R1	3059126	1592545254	1575098041	12749016	5944613	1.0955552412829581
Sample_PRO1747_PlateG_H10_R2	3160243	1606376016	1582362127	12749016	12525682	1.4949108279017034
Sample_PRO1747_PlateG_H11_R1	3352279	1803741528	1782799414	14443794	5877361	1.1610374144471103
Sample_PRO1747_PlateG_H11_R2	3452269	1819918044	1791809831	14443794	12977136	1.5444768566732228
Sample_PRO1747_PlateG_H12_R1	2967138	1401655080	1377502272	11220679	5624596	1.7231634476008177
Sample_PRO1747_PlateG_H12_R2	3052890	1413805554	1379755668	11220679	15727807	2.4083853613153936
Sample_PRO1747_PlateG_H1_R1	2861189	1472109342	1447165840	11785988	4155530	1.6944055233092867
Sample_PRO1747_PlateG_H1_R2	2944347	1485034488	1456145127	11785988	8215076	1.9453663354921356
Sample_PRO1747_PlateG_H2_R1	3064832	1496761266	1476579826	11985458	5896499	1.3483406110537337
Sample_PRO1747_PlateG_H2_R2	3191378	1510167708	1485480089	11985458	10296933	1.6347600911620075
Sample_PRO1747_PlateG_H3_R1	3030655	1566981924	1547107679	12545550	6738399	1.2683136094682863
Sample_PRO1747_PlateG_H3_R2	3161427	1580739300	1557378651	12545550	10140057	1.4778305948362265
Sample_PRO1747_PlateG_H4_R1	1643833	891289428	880543881	7129899	4984704	1.2056181373218309
Sample_PRO1747_PlateG_H4_R2	1706549	898367274	885782998	7129899	6749289	1.400794125543803
Sample_PRO1747_PlateG_H5_R1	2418753	1170279054	1152468796	9366450	5476069	1.5218812931090877
Sample_PRO1747_PlateG_H5_R2	2510290	1180172700	1158489485	9366450	9269594	1.8372916946816344
Sample_PRO1747_PlateG_H6_R1	1647632	887085690	877261196	7095003	4143032	1.1075022526854197
Sample_PRO1747_PlateG_H6_R2	1720135	893970378	882080062	7095003	6145014	1.3300570458051575
Sample_PRO1747_PlateG_H7_R1	2687660	1332655878	1309536853	10670059	6792892	1.7348083163596717
Sample_PRO1747_PlateG_H7_R2	2831387	1344427434	1317694948	10670059	10533382	1.9883918851956421
Sample_PRO1747_PlateG_H8_R1	2182225	1129822674	1111782142	9047569	6782359	1.5967578289192663
Sample_PRO1747_PlateG_H8_R2	2328707	1139993694	1119873329	9047569	8588603	1.7649540612283423
Sample_PRO1747_PlateG_H9_R1	3025862	1531034646	1513779401	12259669	4585062	1.127031647852076
Sample_PRO1747_PlateG_H9_R2	3110620	1544718294	1521385207	12259669	10638406	1.5105075851454894
Sample_PRO1747_PlateH_A10_R1	3342541	1651553946	1620126872	13107571	7180586	1.9028790477062625
Sample_PRO1747_PlateH_A10_R2	3494808	1651553946	1613094531	13107571	14229148	2.3286805189226314
Sample_PRO1747_PlateH_A11_R1	4312676	2176812918	2143913685	17276293	5605999	1.5113486661144484
Sample_PRO1747_PlateH_A11_R2	4408260	2176812918	2135097799	17276293	14484277	1.916339188134127
Sample_PRO1747_PlateH_A12_R1	2759031	1318905000	1296249880	10467500	5543465	1.717721898089703
Sample_PRO1747_PlateH_A12_R2	2929497	1318905000	1291825717	10467500	9738870	2.0531640262187194
Sample_PRO1747_PlateH_A1_R1	3040904	1437707754	1410483203	11410379	4213290	1.893608135885452
Sample_PRO1747_PlateH_A1_R2	3175786	1437707754	1404279237	11410379	10350331	2.3251260144486916
Sample_PRO1747_PlateH_A2_R1	3302301	1871970534	1853871213	14856909	4370768	0.9668592892499023
Sample_PRO1747_PlateH_A2_R2	3376835	1871970534	1846606733	14856909	11634982	1.3549252266168417
Sample_PRO1747_PlateH_A3_R1	4079038	1979506494	1953123818	15710369	4250226	1.3327905758312708
Sample_PRO1747_PlateH_A3_R2	4206977	1979506494	1945908765	15710369	11448525	1.6972780388362796
Sample_PRO1747_PlateH_A4_R1	2943306	1607580450	1588979247	12758575	6526873	1.1570931333483185
Sample_PRO1747_PlateH_A4_R2	3101263	1607580450	1584473174	12758575	10920786	1.4373946883964657
Sample_PRO1747_PlateH_A5_R1	3018911	1462125042	1435347730	11604167	5990543	1.8313968525819149
Sample_PRO1747_PlateH_A5_R2	3162833	1462125042	1429693212	11604167	11535480	2.21812971314939
Sample_PRO1747_PlateH_A6_R1	3366049	1689012612	1664830908	13404862	4972035	1.431706538376044
Sample_PRO1747_PlateH_A6_R2	3569549	1689012612	1657547402	13404862	12162126	1.862935171498885
Sample_PRO1747_PlateH_A7_R1	3421492	1647970758	1612739631	13079133	5090172	2.1378490382169755
Sample_PRO1747_PlateH_A7_R2	3514422	1647970758	1603895075	13079133	14086804	2.6745427845753076
Sample_PRO1747_PlateH_A8_R1	2601137	1350290340	1328657485	10716590	6464674	1.6020891477309982
Sample_PRO1747_PlateH_A8_R2	2768443	1350290340	1325683929	10716590	9463283	1.8223051940073867
Sample_PRO1747_PlateH_A9_R1	9716	4871664	4785547	38664	20627	1.7677122231746687
Sample_PRO1747_PlateH_A9_R2	10288	4871664	4765302	38664	40445	2.183278649759097
Sample_PRO1747_PlateH_B10_R1	3245162	1567393632	1544666801	12439632	4271981	1.4499759687680036
Sample_PRO1747_PlateH_B10_R2	3392255	1567393632	1537338223	12439632	11649822	1.9175405837045023
Sample_PRO1747_PlateH_B11_R1	2634540	1315385946	1290992768	10439571	5976734	1.854450252732136
Sample_PRO1747_PlateH_B11_R2	2772153	1315385946	1287517378	10439571	9370657	2.1186609211347007
Sample_PRO1747_PlateH_B12_R1	2737214	1425164328	1402250755	11310828	5963580	1.6077846287491415
Sample_PRO1747_PlateH_B12_R2	2879686	1425164328	1399470355	11310828	8514858	1.8028779204751468
Sample_PRO1747_PlateH_B1_R1	2351725	1192670136	1175705887	9465636	5100931	1.4223755997525873
Sample_PRO1747_PlateH_B1_R2	2480885	1192670136	1172719274	9465636	7931577	1.6727896002252212
Sample_PRO1747_PlateH_B2_R1	2408871	1332862902	1313916746	10578277	4135404	1.4214632256303883
Sample_PRO1747_PlateH_B2_R2	2504641	1332862902	1309977897	10578277	7968590	1.7169811663045296
Sample_PRO1747_PlateH_B3_R1	3425066	1623691188	1584133064	12886438	4900715	2.436308350526073
Sample_PRO1747_PlateH_B3_R2	3504333	1623691188	1578179268	12886438	10994362	2.802991131340672
Sample_PRO1747_PlateH_B4_R1	3691	1795752	1749328	14252	8580	2.585212211931269
Sample_PRO1747_PlateH_B4_R2	3951	1795752	1743555	14252	14085	2.906693129118052
Sample_PRO1747_PlateH_B5_R1	3842531	1907389260	1879043591	15138010	6337631	1.4860977564694895
Sample_PRO1747_PlateH_B5_R2	3988605	1907389260	1871547563	15138010	13813874	1.879097138252734
Sample_PRO1747_PlateH_B6_R1	3044750	1518877710	1500105721	12054585	4597688	1.2359118101746323
Sample_PRO1747_PlateH_B6_R2	3163388	1518877710	1493694003	12054585	11001219	1.6580470458019956
Sample_PRO1747_PlateH_B7_R1	458	190890	184910	1515	625	3.1326942218031326
Sample_PRO1747_PlateH_B7_R2	465	190890	184044	1515	1566	3.586358635863587
Sample_PRO1747_PlateH_B8_R1	3053737	1546824888	1523464319	12276388	4484932	1.5102271227484931
Sample_PRO1747_PlateH_B8_R2	3145224	1546824888	1516398478	12276388	11953124	1.967023561363851
Sample_PRO1747_PlateH_B9_R1	2224330	1179922212	1162848376	9364462	5162847	1.4470306454405488
Sample_PRO1747_PlateH_B9_R2	2357786	1179922212	1158978451	9364462	9002354	1.7750120124020514
Sample_PRO1747_PlateH_C10_R1	2466436	1367825634	1351556378	10855759	5806618	1.189424704114004
Sample_PRO1747_PlateH_C10_R2	2602529	1367825634	1347209976	10855759	10052733	1.5071846504084452
Sample_PRO1747_PlateH_C11_R1	2862018	1388028978	1362027694	11016103	4361415	1.873252245602613
Sample_PRO1747_PlateH_C11_R2	2928994	1388028978	1355498392	11016103	11084179	2.3436532317122847
Sample_PRO1747_PlateH_C12_R1	2466212	1197137088	1176402630	9501088	5305516	1.7320036450161336
Sample_PRO1747_PlateH_C12_R2	2620405	1197137088	1173451010	9501088	7900782	1.9785602031235374
Sample_PRO1747_PlateH_C1_R1	2399781	1346570442	1326745991	10687067	5031112	1.4722178938188812
Sample_PRO1747_PlateH_C1_R2	2493946	1346570442	1322139049	10687067	9589257	1.8143419934060903
Sample_PRO1747_PlateH_C3_R1	3106952	1509375924	1485014381	11979174	5419445	1.6140142831640927
Sample_PRO1747_PlateH_C3_R2	3233203	1509375924	1480709695	11979174	9558164	1.8992106965660067
Sample_PRO1747_PlateH_C4_R1	2564214	1365469182	1346973260	10837057	6532803	1.354547011665914
Sample_PRO1747_PlateH_C4_R2	2719300	1365469182	1343837914	10837057	9435618	1.5841637647447102
Sample_PRO1747_PlateH_C5_R1	1574052	769745592	756860214	6109092	2652609	1.6739787968802033
Sample_PRO1747_PlateH_C5_R2	1639546	769745592	754584950	6109092	4849904	1.969565289826304
Sample_PRO1747_PlateH_C6_R1	3019682	1505378322	1486979784	11947447	3331002	1.2221869898827997
Sample_PRO1747_PlateH_C6_R2	3150491	1505378322	1478303439	11947447	12091798	1.7985434361794936
Sample_PRO1747_PlateH_C7_R1	1135670	519242472	507350660	4120972	2352488	2.290223285124488
Sample_PRO1747_PlateH_C7_R2	1187254	519242472	505996648	4120972	3610117	2.550990089269893
Sample_PRO1747_PlateH_C8_R1	2187712	1102699710	1081431740	8751585	5161882	1.928718200170743
Sample_PRO1747_PlateH_C8_R2	2295806	1102699710	1078378449	8751585	8377563	2.2056105374327157
Sample_PRO1747_PlateH_C9_R1	2808655	1260158634	1244194624	10001259	2622650	1.266825427313622
Sample_PRO1747_PlateH_C9_R2	2974644	1260158634	1238215659	10001259	8557563	1.7412867243823527
Sample_PRO1747_PlateH_D10_R1	2871825	1481283720	1460581132	11756220	4832347	1.397611255728916
Sample_PRO1747_PlateH_D10_R2	2996464	1481283720	1456198607	11756220	9122435	1.693471187275318
Sample_PRO1747_PlateH_D11_R1	3507106	1676637522	1651704003	13306647	4306029	1.48711445812436
Sample_PRO1747_PlateH_D11_R2	3659020	1676637522	1644005279	13306647	12059104	1.9462908691840668
Sample_PRO1747_PlateH_D12_R1	2750580	1477861056	1457940136	11729056	6464245	1.3479562181520803
Sample_PRO1747_PlateH_D12_R2	2917493	1477861056	1454349944	11729056	9843928	1.590887851367808
Sample_PRO1747_PlateH_D1_R1	3397046	1739130246	1718535373	13802621	4370011	1.1842053260454881
Sample_PRO1747_PlateH_D1_R2	3508103	1739130246	1711963393	13802621	10934770	1.5620942170653274
