Sample	Sequence length	total_deduplicated_percentage	adapter_content	basic_statistics	per_base_n_content	per_sequence_quality_scores	Encoding	Total Sequences	Sequences flagged as poor quality	kmer_content	overrepresented_sequences	File type	per_base_sequence_content	sequence_length_distribution	Filename	avg_sequence_length	sequence_duplication_levels	per_sequence_gc_content	per_base_sequence_quality	%GC	per_tile_sequence_quality
Sample_PRO1322_PlateA_B10_R2	125-126	85.37661720588666	pass	pass	pass	pass	Sanger / Illumina 1.9	511554.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B10_R2.fastq.gz	125.90957748351103	pass	pass	pass	35.0	pass
Sample_PRO1322_PlateA_B11_R1	125-126	25.528477479327123	pass	pass	pass	pass	Sanger / Illumina 1.9	17406671.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B11_R1.fastq.gz	125.91933494922722	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_B11_R2	125-126	25.661636537378364	pass	pass	pass	pass	Sanger / Illumina 1.9	17406671.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B11_R2.fastq.gz	125.91933494922722	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_B12_R1	125-126	40.91102659013667	pass	pass	pass	pass	Sanger / Illumina 1.9	19125326.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B12_R1.fastq.gz	125.91155931145958	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_B12_R2	125-126	41.3528005743029	pass	pass	pass	pass	Sanger / Illumina 1.9	19125326.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B12_R2.fastq.gz	125.91155931145958	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_B2_R1	125-126	21.225451740409166	pass	pass	pass	pass	Sanger / Illumina 1.9	18550043.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B2_R1.fastq.gz	125.92080260946025	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_B2_R2	125-126	22.369168911128888	pass	pass	pass	pass	Sanger / Illumina 1.9	18550043.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B2_R2.fastq.gz	125.92080260946025	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_B3_R1	125-126	23.713377096917384	warn	pass	pass	pass	Sanger / Illumina 1.9	10192784.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B3_R1.fastq.gz	125.91337813103858	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_B3_R2	125-126	24.712441174974593	warn	pass	pass	pass	Sanger / Illumina 1.9	10192784.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B3_R2.fastq.gz	125.91337813103858	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_B4_R1	125-126	24.06645375596173	pass	pass	pass	pass	Sanger / Illumina 1.9	18585604.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B4_R1.fastq.gz	125.9193556475216	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_B4_R2	125-126	24.711903077730152	pass	pass	pass	pass	Sanger / Illumina 1.9	18585604.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B4_R2.fastq.gz	125.9193556475216	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_B5_R1	125-126	21.447086640411424	pass	pass	pass	pass	Sanger / Illumina 1.9	16066297.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B5_R1.fastq.gz	125.94545718904611	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_B5_R2	125-126	20.304331797055422	pass	pass	pass	pass	Sanger / Illumina 1.9	16066297.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B5_R2.fastq.gz	125.94545718904611	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_B6_R1	125-126	49.50312838537086	pass	pass	pass	pass	Sanger / Illumina 1.9	1351673.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B6_R1.fastq.gz	125.95040294509101	fail	pass	fail	35.0	pass
Sample_PRO1322_PlateA_B6_R2	125-126	48.44324874074541	pass	pass	pass	pass	Sanger / Illumina 1.9	1351673.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B6_R2.fastq.gz	125.95040294509101	fail	pass	pass	35.0	warn
Sample_PRO1322_PlateA_B7_R1	125-126	31.45296430675586	warn	pass	pass	pass	Sanger / Illumina 1.9	4336507.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B7_R1.fastq.gz	125.92264788227023	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_B7_R2	125-126	30.905823703584044	warn	pass	pass	pass	Sanger / Illumina 1.9	4336507.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B7_R2.fastq.gz	125.92264788227023	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_B8_R1	125-126	49.38590291719492	warn	pass	pass	pass	Sanger / Illumina 1.9	3816532.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B8_R1.fastq.gz	125.93966957436751	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_B8_R2	125-126	49.74317202875124	warn	pass	pass	pass	Sanger / Illumina 1.9	3816532.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B8_R2.fastq.gz	125.93966957436751	fail	pass	pass	37.0	warn
Sample_PRO1322_PlateA_C10_R1	125-126	28.5779457357756	pass	pass	pass	pass	Sanger / Illumina 1.9	14507908.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C10_R1.fastq.gz	125.91214315668392	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_C10_R2	125-126	29.72611301907502	pass	pass	pass	pass	Sanger / Illumina 1.9	14507908.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C10_R2.fastq.gz	125.91214315668392	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_C11_R1	125-126	87.57919524397275	pass	pass	pass	pass	Sanger / Illumina 1.9	459672.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C11_R1.fastq.gz	125.91516559633826	pass	pass	fail	33.0	pass
Sample_PRO1322_PlateA_C11_R2	125-126	87.43727263258229	pass	pass	pass	pass	Sanger / Illumina 1.9	459672.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C11_R2.fastq.gz	125.91516559633826	pass	pass	pass	33.0	pass
Sample_PRO1322_PlateA_C1_R1	125-126	24.80353276222275	pass	pass	pass	pass	Sanger / Illumina 1.9	8738566.0	0.0	fail	warn	Conventional base calls	warn	warn	Sample_PRO1322_PlateA_C1_R1.fastq.gz	125.9257252276861	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_C1_R2	125-126	24.448443895873044	pass	pass	pass	pass	Sanger / Illumina 1.9	8738566.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C1_R2.fastq.gz	125.9257252276861	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_C3_R1	125-126	25.834178857343897	warn	pass	pass	pass	Sanger / Illumina 1.9	6807974.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C3_R1.fastq.gz	125.9191418768638	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C3_R2	125-126	25.54576444651041	warn	pass	pass	pass	Sanger / Illumina 1.9	6807974.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C3_R2.fastq.gz	125.9191418768638	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C5_R1	125-126	25.381102741162437	pass	pass	pass	pass	Sanger / Illumina 1.9	18243593.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C5_R1.fastq.gz	125.92948631335943	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C5_R2	125-126	26.45314496288307	pass	pass	pass	pass	Sanger / Illumina 1.9	18243593.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C5_R2.fastq.gz	125.92948631335943	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C6_R1	125-126	27.764108097563827	pass	pass	pass	pass	Sanger / Illumina 1.9	9317125.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C6_R1.fastq.gz	125.93002959603955	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C6_R2	125-126	27.766871099937724	pass	pass	pass	pass	Sanger / Illumina 1.9	9317125.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C6_R2.fastq.gz	125.93002959603955	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_C7_R1	125-126	15.698435359134521	pass	pass	pass	pass	Sanger / Illumina 1.9	7554925.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C7_R1.fastq.gz	125.91255743769793	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_C7_R2	125-126	16.31195275530719	pass	pass	pass	pass	Sanger / Illumina 1.9	7554925.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C7_R2.fastq.gz	125.91255743769793	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_C8_R1	125-126	26.564765691395127	pass	pass	pass	pass	Sanger / Illumina 1.9	15642075.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C8_R1.fastq.gz	125.9246075728444	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_C8_R2	125-126	26.3719642376506	pass	pass	pass	pass	Sanger / Illumina 1.9	15642075.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C8_R2.fastq.gz	125.9246075728444	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_C9_R1	125-126	22.057541829258707	pass	pass	pass	pass	Sanger / Illumina 1.9	16365761.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C9_R1.fastq.gz	125.9179471703149	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_C9_R2	125-126	22.210441316122367	pass	pass	pass	pass	Sanger / Illumina 1.9	16365761.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_C9_R2.fastq.gz	125.9179471703149	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_D10_R1	125-126	28.823850938185576	pass	pass	pass	pass	Sanger / Illumina 1.9	17348124.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D10_R1.fastq.gz	125.93003260756034	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_D10_R2	125-126	29.68369996824924	pass	pass	pass	pass	Sanger / Illumina 1.9	17348124.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D10_R2.fastq.gz	125.93003260756034	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_D11_R1	125.0	100.0	pass	pass	pass	warn	Sanger / Illumina 1.9	3.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_D11_R1.fastq.gz	125.0	pass	fail	pass	43.0	
Sample_PRO1322_PlateA_D11_R2	125.0	100.0	pass	pass	pass	fail	Sanger / Illumina 1.9	3.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_D11_R2.fastq.gz	125.0	pass	fail	pass	35.0	
Sample_PRO1322_PlateA_D12_R1	125.0	100.0	pass	pass	pass	pass	Sanger / Illumina 1.9	2.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_D12_R1.fastq.gz	125.0	pass	fail	pass	26.0	
Sample_PRO1322_PlateA_D12_R2	125.0	100.0	pass	pass	pass	fail	Sanger / Illumina 1.9	2.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_D12_R2.fastq.gz	125.0	pass	fail	pass	24.0	
Sample_PRO1322_PlateA_D1_R1	125-126	44.42907406352097	pass	pass	pass	pass	Sanger / Illumina 1.9	2787542.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D1_R1.fastq.gz	125.9348128207575	fail	pass	fail	34.0	pass
Sample_PRO1322_PlateA_D1_R2	125-126	41.73738687662717	pass	pass	pass	pass	Sanger / Illumina 1.9	2787542.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D1_R2.fastq.gz	125.9348128207575	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_D2_R1	125-126	32.86517182598948	pass	pass	pass	pass	Sanger / Illumina 1.9	14352846.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D2_R1.fastq.gz	125.92635836822885	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_D2_R2	125-126	31.916872645938877	pass	pass	pass	pass	Sanger / Illumina 1.9	14352846.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D2_R2.fastq.gz	125.92635836822885	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_D3_R1	125-126	23.79146222815788	warn	pass	pass	pass	Sanger / Illumina 1.9	6230436.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D3_R1.fastq.gz	125.91364472727109	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_D3_R2	125-126	23.936951049068107	warn	pass	pass	pass	Sanger / Illumina 1.9	6230436.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D3_R2.fastq.gz	125.91364472727109	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_D4_R1	125-126	18.872394568698635	warn	pass	pass	pass	Sanger / Illumina 1.9	13217055.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D4_R1.fastq.gz	125.9201319053299	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateA_D4_R2	125-126	18.91835450040706	warn	pass	pass	pass	Sanger / Illumina 1.9	13217055.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D4_R2.fastq.gz	125.9201319053299	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateA_D5_R1	125-126	21.30353715410764	pass	pass	pass	pass	Sanger / Illumina 1.9	13695935.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D5_R1.fastq.gz	125.94474798544239	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_D5_R2	125-126	20.763189915955156	pass	pass	pass	pass	Sanger / Illumina 1.9	13695935.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D5_R2.fastq.gz	125.94474798544239	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_D6_R1	125-126	23.803462030948566	pass	pass	pass	pass	Sanger / Illumina 1.9	13822803.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D6_R1.fastq.gz	125.93379765305198	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_D6_R2	125-126	23.785938669078412	pass	pass	pass	pass	Sanger / Illumina 1.9	13822803.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D6_R2.fastq.gz	125.93379765305198	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_D7_R1	125-126	20.15235929554283	pass	pass	pass	pass	Sanger / Illumina 1.9	16510690.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D7_R1.fastq.gz	125.92030121091244	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_D7_R2	125-126	19.965983449926632	pass	pass	pass	pass	Sanger / Illumina 1.9	16510690.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D7_R2.fastq.gz	125.92030121091244	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_D8_R1	125-126	90.82898142050145	pass	pass	pass	pass	Sanger / Illumina 1.9	107807.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D8_R1.fastq.gz	125.91827061322549	pass	pass	pass	34.0	pass
Sample_PRO1322_PlateA_D8_R2	125-126	90.59337519827099	pass	pass	pass	pass	Sanger / Illumina 1.9	107807.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D8_R2.fastq.gz	125.91827061322549	pass	pass	pass	34.0	warn
Sample_PRO1322_PlateA_D9_R1	125-126	19.863197052352348	pass	pass	pass	pass	Sanger / Illumina 1.9	24692801.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D9_R1.fastq.gz	125.91451026556282	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_D9_R2	125-126	20.822002518977513	pass	pass	pass	pass	Sanger / Illumina 1.9	24692801.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_D9_R2.fastq.gz	125.91451026556282	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_E10_R1	125-126	81.48645908921293	pass	pass	pass	pass	Sanger / Illumina 1.9	164947.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E10_R1.fastq.gz	125.93236615397673	pass	pass	fail	33.0	pass
Sample_PRO1322_PlateA_E10_R2	125-126	81.17655333714946	pass	pass	pass	pass	Sanger / Illumina 1.9	164947.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E10_R2.fastq.gz	125.93236615397673	pass	pass	pass	33.0	pass
Sample_PRO1322_PlateA_E11_R1	125-126	31.72858569925962	pass	pass	pass	pass	Sanger / Illumina 1.9	17615705.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E11_R1.fastq.gz	125.92340510924768	fail	pass	fail	35.0	pass
Sample_PRO1322_PlateA_E11_R2	125-126	29.36232777143794	pass	pass	pass	pass	Sanger / Illumina 1.9	17615705.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E11_R2.fastq.gz	125.92340510924768	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_E1_R1	125-126	23.08362400274186	pass	pass	pass	pass	Sanger / Illumina 1.9	17312825.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E1_R1.fastq.gz	125.92607341667232	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_E1_R2	125-126	23.0640312340567	pass	pass	pass	pass	Sanger / Illumina 1.9	17312825.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E1_R2.fastq.gz	125.92607341667232	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_E2_R1	125-126	21.95011303323358	pass	pass	pass	pass	Sanger / Illumina 1.9	14112491.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E2_R1.fastq.gz	125.91895860199308	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateA_E2_R2	125-126	22.616352060642537	pass	pass	pass	pass	Sanger / Illumina 1.9	14112491.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E2_R2.fastq.gz	125.91895860199308	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateA_E3_R1	125-126	24.1577844988512	pass	pass	pass	pass	Sanger / Illumina 1.9	18755046.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E3_R1.fastq.gz	125.91607431941249	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_E3_R2	125-126	23.83917556191571	pass	pass	pass	pass	Sanger / Illumina 1.9	18755046.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E3_R2.fastq.gz	125.91607431941249	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_E4_R1	125-126	21.26296815880466	warn	pass	pass	pass	Sanger / Illumina 1.9	7075159.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E4_R1.fastq.gz	125.93397971692227	fail	fail	fail	38.0	pass
