Sample	adapter_content	per_sequence_quality_scores	basic_statistics	Total Sequences	File type	per_sequence_gc_content	Filename	per_base_n_content	Sequences flagged as poor quality	per_base_sequence_quality	%GC	sequence_duplication_levels	sequence_length_distribution	total_deduplicated_percentage	per_tile_sequence_quality	per_base_sequence_content	avg_sequence_length	Sequence length	Encoding	kmer_content	overrepresented_sequences
Sample_IPO3916_A3_R1	fail	pass	pass	3682127.0	Conventional base calls	warn	Sample_IPO3916_A3_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	47.39448138595202	pass	warn	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A3_R2	fail	pass	pass	3682127.0	Conventional base calls	warn	Sample_IPO3916_A3_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	47.527713793870944	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A4_R1	warn	pass	pass	3916264.0	Conventional base calls	fail	Sample_IPO3916_A4_R1.fastq.gz	pass	0.0	pass	40.0	fail	pass	18.982852246291202	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A4_R2	warn	pass	pass	3916264.0	Conventional base calls	fail	Sample_IPO3916_A4_R2.fastq.gz	pass	0.0	pass	40.0	fail	pass	18.86867545101912	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_A5_R1	warn	pass	pass	8165695.0	Conventional base calls	pass	Sample_IPO3916_A5_R1.fastq.gz	pass	0.0	pass	35.0	fail	pass	41.28840120045941	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A5_R2	warn	pass	pass	8165695.0	Conventional base calls	pass	Sample_IPO3916_A5_R2.fastq.gz	pass	0.0	fail	35.0	fail	pass	42.00243056397062	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A6_R1	fail	pass	pass	7400726.0	Conventional base calls	warn	Sample_IPO3916_A6_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	39.92454370336444	pass	warn	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A6_R2	fail	pass	pass	7400726.0	Conventional base calls	warn	Sample_IPO3916_A6_R2.fastq.gz	pass	0.0	fail	40.0	fail	pass	40.42595247727682	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A7_R1	fail	pass	pass	8561045.0	Conventional base calls	fail	Sample_IPO3916_A7_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	43.19366035839266	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_A7_R2	fail	pass	pass	8561045.0	Conventional base calls	fail	Sample_IPO3916_A7_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	43.67392692659469	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_A8_R1	warn	pass	pass	8915546.0	Conventional base calls	pass	Sample_IPO3916_A8_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	48.93950718137115	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A8_R2	warn	pass	pass	8915546.0	Conventional base calls	pass	Sample_IPO3916_A8_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	49.68680861000622	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A9_R1	warn	pass	pass	11442652.0	Conventional base calls	pass	Sample_IPO3916_A9_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	46.95073886896594	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A9_R2	warn	pass	pass	11442652.0	Conventional base calls	pass	Sample_IPO3916_A9_R2.fastq.gz	pass	0.0	pass	38.0	fail	pass	47.12985292633549	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B10_R1	fail	pass	pass	11946596.0	Conventional base calls	pass	Sample_IPO3916_B10_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	54.45429231910509	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B10_R2	fail	pass	pass	11946596.0	Conventional base calls	pass	Sample_IPO3916_B10_R2.fastq.gz	pass	0.0	fail	37.0	warn	pass	54.643813828121054	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B11_R1	warn	pass	pass	8042523.0	Conventional base calls	pass	Sample_IPO3916_B11_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	44.28019174276983	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B11_R2	warn	pass	pass	8042523.0	Conventional base calls	pass	Sample_IPO3916_B11_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	44.652814296902406	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B12_R1	warn	pass	pass	13154160.0	Conventional base calls	pass	Sample_IPO3916_B12_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	48.16645772757218	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B12_R2	warn	pass	pass	13154160.0	Conventional base calls	pass	Sample_IPO3916_B12_R2.fastq.gz	pass	0.0	pass	37.0	fail	pass	48.15894753758036	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B1_R1	fail	pass	pass	15607177.0	Conventional base calls	fail	Sample_IPO3916_B1_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	19.55640895082995	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B1_R2	fail	pass	pass	15607177.0	Conventional base calls	fail	Sample_IPO3916_B1_R2.fastq.gz	pass	0.0	pass	39.0	fail	pass	20.18560836311054	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B2_R1	warn	pass	pass	7673805.0	Conventional base calls	pass	Sample_IPO3916_B2_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	37.941815352125644	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B2_R2	warn	pass	pass	7673805.0	Conventional base calls	pass	Sample_IPO3916_B2_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	39.0382997797239	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B3_R1	fail	pass	pass	9458178.0	Conventional base calls	warn	Sample_IPO3916_B3_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	47.79982509508335	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B3_R2	fail	pass	pass	9458178.0	Conventional base calls	warn	Sample_IPO3916_B3_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	47.79143620641487	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B4_R1	fail	pass	pass	4279067.0	Conventional base calls	pass	Sample_IPO3916_B4_R1.fastq.gz	pass	0.0	pass	39.0	warn	pass	53.00495676823462	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B4_R2	fail	pass	pass	4279067.0	Conventional base calls	pass	Sample_IPO3916_B4_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	53.78515011496411	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B5_R1	warn	pass	pass	3944306.0	Conventional base calls	pass	Sample_IPO3916_B5_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	41.68076035071157	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B5_R2	warn	pass	pass	3944306.0	Conventional base calls	pass	Sample_IPO3916_B5_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	42.450905822018	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B6_R1	fail	pass	pass	3731361.0	Conventional base calls	fail	Sample_IPO3916_B6_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	54.92045477722929	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B6_R2	fail	pass	pass	3731361.0	Conventional base calls	fail	Sample_IPO3916_B6_R2.fastq.gz	pass	0.0	fail	37.0	warn	pass	55.29534675442367	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_B7_R1	fail	pass	pass	6367838.0	Conventional base calls	fail	Sample_IPO3916_B7_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	48.395240981611614	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_B7_R2	fail	pass	pass	6367838.0	Conventional base calls	fail	Sample_IPO3916_B7_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	48.50572832358874	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_B8_R1	warn	pass	pass	4622416.0	Conventional base calls	pass	Sample_IPO3916_B8_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.917922385834395	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B8_R2	warn	pass	pass	4622416.0	Conventional base calls	pass	Sample_IPO3916_B8_R2.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.996735739749525	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_B9_R1	pass	pass	pass	9042251.0	Conventional base calls	fail	Sample_IPO3916_B9_R1.fastq.gz	pass	0.0	pass	40.0	fail	pass	8.987169050261828	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_B9_R2	pass	pass	pass	9042251.0	Conventional base calls	fail	Sample_IPO3916_B9_R2.fastq.gz	pass	0.0	pass	40.0	fail	pass	8.975153067168327	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_C10_R1	fail	pass	pass	8032363.0	Conventional base calls	pass	Sample_IPO3916_C10_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	57.36348879841038	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C10_R2	fail	pass	pass	8032363.0	Conventional base calls	pass	Sample_IPO3916_C10_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	58.094210061266295	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C11_R1	fail	pass	pass	13980064.0	Conventional base calls	pass	Sample_IPO3916_C11_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	47.783256457757524	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_C11_R2	fail	pass	pass	13980064.0	Conventional base calls	pass	Sample_IPO3916_C11_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	48.00308293443214	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_C12_R1	fail	pass	pass	7580630.0	Conventional base calls	pass	Sample_IPO3916_C12_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	30.461871033607725	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C12_R2	fail	pass	pass	7580630.0	Conventional base calls	pass	Sample_IPO3916_C12_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	31.17626177403251	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C1_R1	fail	pass	pass	5470060.0	Conventional base calls	warn	Sample_IPO3916_C1_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	52.92492664337378	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C1_R2	fail	pass	pass	5470060.0	Conventional base calls	warn	Sample_IPO3916_C1_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	52.89556497364358	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C2_R1	fail	pass	pass	13460728.0	Conventional base calls	pass	Sample_IPO3916_C2_R1.fastq.gz	pass	0.0	pass	39.0	warn	pass	52.26114074626953	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C2_R2	fail	pass	pass	13460728.0	Conventional base calls	pass	Sample_IPO3916_C2_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	53.17899381489579	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C3_R1	fail	pass	pass	7027775.0	Conventional base calls	pass	Sample_IPO3916_C3_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	48.97782340791807	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C3_R2	fail	pass	pass	7027775.0	Conventional base calls	pass	Sample_IPO3916_C3_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	49.3095911600339	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C4_R1	pass	pass	pass	4774433.0	Conventional base calls	fail	Sample_IPO3916_C4_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	9.57186745546334	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_C4_R2	pass	pass	pass	4774433.0	Conventional base calls	fail	Sample_IPO3916_C4_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	10.219421697811926	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_C5_R1	warn	pass	pass	5099526.0	Conventional base calls	pass	Sample_IPO3916_C5_R1.fastq.gz	pass	0.0	pass	39.0	warn	pass	52.688794929852754	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C5_R2	warn	pass	pass	5099526.0	Conventional base calls	pass	Sample_IPO3916_C5_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	53.441519912845024	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C6_R1	fail	pass	pass	8740289.0	Conventional base calls	warn	Sample_IPO3916_C6_R1.fastq.gz	pass	0.0	fail	37.0	fail	pass	44.84455807604489	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C6_R2	fail	pass	pass	8740289.0	Conventional base calls	warn	Sample_IPO3916_C6_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	45.38699726620991	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C7_R1	fail	pass	pass	5466099.0	Conventional base calls	fail	Sample_IPO3916_C7_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	41.653631054785485	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C7_R2	fail	pass	pass	5466099.0	Conventional base calls	fail	Sample_IPO3916_C7_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	41.9423262947605	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C8_R1	fail	pass	pass	4530705.0	Conventional base calls	pass	Sample_IPO3916_C8_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	56.639207167775155	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_C8_R2	fail	pass	pass	4530705.0	Conventional base calls	pass	Sample_IPO3916_C8_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	57.488202044353784	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_C9_R1	warn	pass	pass	5875332.0	Conventional base calls	fail	Sample_IPO3916_C9_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	46.958768866263384	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_C9_R2	warn	pass	pass	5875332.0	Conventional base calls	fail	Sample_IPO3916_C9_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	47.075987619520845	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D10_R1	warn	pass	pass	8056010.0	Conventional base calls	pass	Sample_IPO3916_D10_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	44.35688227937377	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D10_R2	warn	pass	pass	8056010.0	Conventional base calls	pass	Sample_IPO3916_D10_R2.fastq.gz	pass	0.0	pass	38.0	fail	pass	44.26501390538389	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D11_R1	fail	pass	pass	3366816.0	Conventional base calls	warn	Sample_IPO3916_D11_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.52711388607808	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D11_R2	fail	pass	pass	3366816.0	Conventional base calls	warn	Sample_IPO3916_D11_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	52.27760088888777	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D12_R1	fail	pass	pass	11048473.0	Conventional base calls	pass	Sample_IPO3916_D12_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	52.34819263998204	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D12_R2	fail	pass	pass	11048473.0	Conventional base calls	pass	Sample_IPO3916_D12_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	52.84403574351641	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D1_R1	fail	pass	pass	14953665.0	Conventional base calls	pass	Sample_IPO3916_D1_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	45.956234206987105	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D1_R2	fail	pass	pass	14953665.0	Conventional base calls	pass	Sample_IPO3916_D1_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	45.84088396074618	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D2_R1	fail	pass	pass	26694933.0	Conventional base calls	pass	Sample_IPO3916_D2_R1.fastq.gz	pass	0.0	pass	39.0	warn	pass	55.64028009138519	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D2_R2	fail	pass	pass	26694933.0	Conventional base calls	pass	Sample_IPO3916_D2_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	55.955895164756484	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D3_R1	fail	pass	pass	3794204.0	Conventional base calls	warn	Sample_IPO3916_D3_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	60.40303784849487	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D3_R2	fail	pass	pass	3794204.0	Conventional base calls	warn	Sample_IPO3916_D3_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	61.09206318609428	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D4_R1	fail	pass	pass	8942844.0	Conventional base calls	warn	Sample_IPO3916_D4_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	29.122298663514286	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D4_R2	fail	pass	pass	8942844.0	Conventional base calls	warn	Sample_IPO3916_D4_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	29.488680395347117	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_D5_R1	fail	pass	pass	5704043.0	Conventional base calls	warn	Sample_IPO3916_D5_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	42.97642072376778	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D5_R2	fail	pass	pass	5704043.0	Conventional base calls	warn	Sample_IPO3916_D5_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	43.63446261410661	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D6_R1	warn	pass	pass	9865895.0	Conventional base calls	fail	Sample_IPO3916_D6_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	40.61933200786933	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D6_R2	warn	pass	pass	9865895.0	Conventional base calls	fail	Sample_IPO3916_D6_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	41.32044235287531	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D7_R1	warn	pass	pass	4946511.0	Conventional base calls	pass	Sample_IPO3916_D7_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.7144387387663	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D7_R2	warn	pass	pass	4946511.0	Conventional base calls	pass	Sample_IPO3916_D7_R2.fastq.gz	pass	0.0	pass	38.0	warn	pass	52.17466790670567	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D8_R1	warn	pass	pass	5556364.0	Conventional base calls	pass	Sample_IPO3916_D8_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	50.931051216011035	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D8_R2	warn	pass	pass	5556364.0	Conventional base calls	pass	Sample_IPO3916_D8_R2.fastq.gz	pass	0.0	pass	36.0	warn	pass	50.86313133884855	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_D9_R1	warn	pass	pass	4691240.0	Conventional base calls	warn	Sample_IPO3916_D9_R1.fastq.gz	pass	0.0	pass	35.0	fail	pass	49.899163579580794	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_D9_R2	warn	pass	pass	4691240.0	Conventional base calls	warn	Sample_IPO3916_D9_R2.fastq.gz	pass	0.0	fail	35.0	warn	pass	50.2967076629691	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E10_R1	warn	pass	pass	8300195.0	Conventional base calls	pass	Sample_IPO3916_E10_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	46.82027890591124	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E10_R2	warn	pass	pass	8300195.0	Conventional base calls	pass	Sample_IPO3916_E10_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	46.99753738309612	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E11_R1	fail	pass	pass	11543215.0	Conventional base calls	pass	Sample_IPO3916_E11_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	48.62790117115196	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E11_R2	fail	pass	pass	11543215.0	Conventional base calls	pass	Sample_IPO3916_E11_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	49.19910780576005	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E12_R1	fail	pass	pass	6937522.0	Conventional base calls	pass	Sample_IPO3916_E12_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	62.49277244736534	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E12_R2	fail	pass	pass	6937522.0	Conventional base calls	pass	Sample_IPO3916_E12_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	62.79357963812417	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E1_R1	fail	pass	pass	10043760.0	Conventional base calls	pass	Sample_IPO3916_E1_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	46.84163627002943	pass	warn	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E1_R2	fail	pass	pass	10043760.0	Conventional base calls	pass	Sample_IPO3916_E1_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	47.46356159811435	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E2_R1	fail	pass	pass	3761327.0	Conventional base calls	warn	Sample_IPO3916_E2_R1.fastq.gz	pass	0.0	fail	39.0	warn	pass	61.30440375634103	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_E2_R2	fail	pass	pass	3761327.0	Conventional base calls	warn	Sample_IPO3916_E2_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	61.92406008997321	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_E3_R1	fail	pass	pass	6941557.0	Conventional base calls	pass	Sample_IPO3916_E3_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	48.85137074170316	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
