Sample	percent_trimmed	bp_processed	r_processed	r_with_adapters	bp_written	quality_trimmed
Sample_IPO3917_E4_R1	5.150128252655366	1264022172	10031922	3180866	1198923409	19545034
Sample_IPO3917_E4_R2	5.962480379655872	1264022172	10031922	3253309	1188655098	33426860
Sample_IPO3917_E5_R1	4.352498148272033	1145692044	9092794	2730962	1095825819	17703080
Sample_IPO3917_E5_R2	5.3542689173112565	1145692044	9092794	2781389	1084348611	31343243
Sample_IPO3917_E6_R1	3.720857474954452	1343582100	10663350	2989158	1293589325	18352358
Sample_IPO3917_E6_R2	4.836151583144789	1343582100	10663350	3062938	1278604433	35414187
Sample_IPO3917_E7_R1	5.2305003188733625	1505061432	11944932	3647204	1426339189	23767161
Sample_IPO3917_E7_R2	5.857911652339784	1505061432	11944932	3730747	1416896263	36110029
Sample_IPO3917_E8_R1	3.717726830883874	939098664	7453164	2174154	904185541	13422243
Sample_IPO3917_E8_R2	4.478929063836897	939098664	7453164	2226869	897037101	21644023
Sample_IPO3917_E9_R1	3.5466213348254914	1151137890	9136015	2661042	1110311388	15805078
Sample_IPO3917_E9_R2	4.452998936556592	1151137890	9136015	2737391	1099877732	27430351
Sample_IPO3917_F10_R1	4.540803846657265	336942522	2674147	816681	321642623	4566640
Sample_IPO3917_F10_R2	5.6847152702204795	336942522	2674147	827996	317788299	9076931
Sample_IPO3917_F11_R1	4.093594717660711	937995030	7444405	2319366	899597315	13140664
Sample_IPO3917_F11_R2	5.029065665731726	937995030	7444405	2379844	890822644	23215834
Sample_IPO3917_F12_R1	4.3454559319859145	1191672216	9457716	2909250	1139888625	14557430
Sample_IPO3917_F12_R2	5.200940088041794	1191672216	9457716	2972026	1129694058	26762788
Sample_IPO3917_F1_R1	5.39228787069165	520803612	4133362	1296864	492720382	8461429
Sample_IPO3917_F1_R2	5.884185380803388	520803612	4133362	1333188	490158562	12084903
Sample_IPO3917_F2_R1	3.1926769932611516	912518838	7242213	2164714	883385059	9385856
Sample_IPO3917_F2_R2	4.086185670612972	912518838	7242213	2213810	875231624	18513020
Sample_IPO3917_F3_R1	7.333548240446588	527390640	4185640	1572885	488714193	7584615
Sample_IPO3917_F3_R2	8.177144933781912	527390640	4185640	1592949	484265143	14035225
Sample_IPO3917_F4_R1	6.080597683511107	986488650	7829275	2698148	926504244	15333974
Sample_IPO3917_F4_R2	6.815979585776279	986488650	7829275	2760590	919249785	25782574
Sample_IPO3917_F5_R1	4.585283354703236	1257923394	9983519	3046920	1200244042	17942056
Sample_IPO3917_F5_R2	5.368995307833507	1257923394	9983519	3095010	1190385546	30367122
Sample_IPO3917_F6_R1	3.2077785575947164	847327068	6724818	1828476	820146692	11214417
Sample_IPO3917_F6_R2	4.2283418473301975	847327068	6724818	1871317	811499183	20696160
Sample_IPO3917_F7_R1	4.377839584937993	716997834	5690459	1744485	685608819	10478289
Sample_IPO3917_F7_R2	4.9911650081776955	716997834	5690459	1784456	681211289	15867177
Sample_IPO3917_F8_R1	3.48972884441133	1112758920	8831420	2612269	1073926651	13129267
Sample_IPO3917_F8_R2	4.643189020673049	1112758920	8831420	2670366	1061091420	27455881
Sample_IPO3917_F9_R1	3.8963850170378485	1002609594	7957219	2191906	963544064	14527714
Sample_IPO3917_F9_R2	4.405626503510199	1002609594	7957219	2249089	958438360	20794605
Sample_IPO3917_G10_R1	10.911972838368836	4256490168	33781668	16129153	3792023117	52896507
Sample_IPO3917_G10_R2	11.406377527899414	4256490168	33781668	16234176	3770978830	80997046
Sample_IPO3917_G11_R1	3.9279899416735207	1380959748	10959998	3239603	1326715788	22341913
Sample_IPO3917_G11_R2	4.436927874888356	1380959748	10959998	3329688	1319687560	30857412
Sample_IPO3917_G12_R1	3.2121766021274194	1185228576	9406576	2567318	1147156941	15243713
Sample_IPO3917_G12_R2	4.112787861098617	1185228576	9406576	2646058	1136482639	27014501
Sample_IPO3917_G1_R1	5.468981948828204	897887970	7126095	2348811	848782639	11856070
Sample_IPO3917_G1_R2	6.368621020727118	897887970	7126095	2403009	840704888	22310844
Sample_IPO3917_G2_R1	5.92914280821726	990238284	7859034	2600666	931525642	14932392
Sample_IPO3917_G2_R2	6.347697722420112	990238284	7859034	2646013	927380951	21120647
Sample_IPO3917_G3_R1	5.839571923529883	994196574	7890449	2704982	936139750	13015850
Sample_IPO3917_G3_R2	6.657036619399978	994196574	7890449	2748151	928012544	23945314
Sample_IPO3917_G4_R1	2.6979394690561076	1297975266	10301391	2902683	1262956679	10824837
Sample_IPO3917_G4_R2	4.33789398572407	1297975266	10301391	2978760	1241670475	33901722
Sample_IPO3917_G5_R1	15.818833039003838	14516112240	115207240	69374611	12219832681	181730345
Sample_IPO3917_G5_R2	16.144708137087264	14516112240	115207240	69539664	12172528286	257496925
Sample_IPO3917_G6_R1	3.262062063880115	761134752	6040752	1672937	736306064	9699565
Sample_IPO3917_G6_R2	4.409591194175299	761134752	6040752	1712067	727571821	19364798
Sample_IPO3917_G7_R1	4.4831161460687	1551939984	12316984	3654932	1482364712	25211604
Sample_IPO3917_G7_R2	4.964451898547129	1551939984	12316984	3754932	1474894670	34965785
Sample_IPO3917_G8_R1	3.732206763267839	1815541938	14409063	4419841	1747782159	17583761
Sample_IPO3917_G8_R2	5.238601213738528	1815541938	14409063	4502389	1720432936	48142422
Sample_IPO3917_G9_R1	3.686807833791969	1333136448	10580448	2972264	1283986269	20957088
Sample_IPO3917_G9_R2	4.200330887660195	1333136448	10580448	3057556	1277140306	29011270
Sample_IPO3917_H10_R1	2.4421615200482067	1006617654	7989029	2042870	982034425	11899111
Sample_IPO3917_H10_R2	3.1099952276418152	1006617654	7989029	2127503	975311893	19156709
Sample_IPO3917_H11_R1	3.5834202588411954	1183582386	9393511	2799247	1141169655	12640597
Sample_IPO3917_H11_R2	4.441900760087857	1183582386	9393511	2865491	1131008831	24261720
Sample_IPO3917_H12_R1	19.756505347624643	12963365352	102883852	70510276	10402257383	203634063
Sample_IPO3917_H12_R2	20.01381978021412	12963365352	102883852	70653637	10368900773	261354031
Sample_IPO3917_H1_R1	4.145928501329994	728103222	5778597	1817610	697916583	9200532
Sample_IPO3917_H1_R2	5.087213444579429	728103222	5778597	1862838	691063057	17311146
Sample_IPO3917_H2_R1	3.9377970394866386	768081384	6095884	1829891	737835898	9034800
Sample_IPO3917_H2_R2	4.988060744354663	768081384	6095884	1869036	729769018	18447198
Sample_IPO3917_H3_R1	6.1034782086478065	737157330	5850455	2018860	692165093	10368894
Sample_IPO3917_H3_R2	6.879342432910489	737157330	5850455	2045210	686445753	18141877
Sample_IPO3917_H4_R1	16.888606235074484	7010497998	55638873	33845153	5826522596	88285668
Sample_IPO3917_H4_R2	17.31467265729615	7010497998	55638873	33924739	5796653218	134871958
Sample_IPO3917_H5_R1	3.5869513885087945	1344733362	10672487	2905632	1296498430	18786900
Sample_IPO3917_H5_R2	4.712428559499069	1344733362	10672487	2967159	1281363763	35871589
Sample_IPO3917_H6_R1	3.912712957318721	1018589670	8084045	2357982	978735180	14591586
Sample_IPO3917_H6_R2	4.792086787999725	1018589670	8084045	2421621	969777969	25048847
Sample_IPO3917_H7_R1	5.114097734693566	599414004	4757254	1541088	568759386	10060239
Sample_IPO3917_H7_R2	5.445397468558308	599414004	4757254	1570336	566773529	12958933
Sample_IPO3917_H8_R1	4.529112341656526	1452578652	11528402	3605525	1386789733	17990998
Sample_IPO3917_H8_R2	5.099033701068051	1452578652	11528402	3690493	1378511177	28644685
Sample_IPO3917_H9_R1	3.468615007632505	554385510	4399885	1260799	535156011	7339743
Sample_IPO3917_H9_R2	4.45601978305674	554385510	4399885	1294794	529681982	13436281
