Sample	sequence_duplication_levels	adapter_content	Sequence length	Sequences flagged as poor quality	avg_sequence_length	kmer_content	Filename	Total Sequences	per_sequence_quality_scores	per_tile_sequence_quality	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_base_sequence_quality	%GC	per_base_n_content	per_sequence_gc_content	basic_statistics	overrepresented_sequences	File type	Encoding
Sample_PRO1322_PlateA_A3_R1_val_1	fail	pass	100-126	0.0	124.96797413306943	fail	Sample_PRO1322_PlateA_A3_R1_val_1.fq.gz	12953373.0	pass	pass	fail	warn	20.727479784993843	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A3_R2_val_2	fail	pass	100-126	0.0	124.9248025977481	fail	Sample_PRO1322_PlateA_A3_R2_val_2.fq.gz	12953373.0	pass	pass	fail	warn	20.993089395286592	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A4_R1_val_1	fail	pass	100-126	0.0	125.12283388079194	fail	Sample_PRO1322_PlateA_A4_R1_val_1.fq.gz	18066815.0	pass	pass	fail	warn	9.283669171644755	fail	37.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A4_R2_val_2	fail	pass	100-126	0.0	125.2014760764418	fail	Sample_PRO1322_PlateA_A4_R2_val_2.fq.gz	18066815.0	pass	pass	fail	warn	8.605025425459225	pass	38.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A5_R1_val_1	fail	pass	100-126	0.0	125.1981129326967	fail	Sample_PRO1322_PlateA_A5_R1_val_1.fq.gz	16715779.0	pass	pass	fail	warn	30.41913825226672	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A5_R2_val_2	fail	pass	100-126	0.0	125.1744444575392	fail	Sample_PRO1322_PlateA_A5_R2_val_2.fq.gz	16715779.0	pass	pass	fail	warn	30.76588650689065	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A6_R1_val_1	fail	pass	100-126	0.0	125.0268565713782	fail	Sample_PRO1322_PlateA_A6_R1_val_1.fq.gz	16720526.0	pass	pass	fail	warn	17.18855625985537	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A6_R2_val_2	fail	pass	100-126	0.0	125.03971160955103	fail	Sample_PRO1322_PlateA_A6_R2_val_2.fq.gz	16720526.0	pass	pass	fail	warn	17.15672085523975	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A7_R1_val_1	pass	pass	100-126	0.0	124.9970018304614	warn	Sample_PRO1322_PlateA_A7_R1_val_1.fq.gz	126744.0	pass	pass	fail	warn	84.69625623223553	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A7_R2_val_2	pass	pass	100-126	0.0	125.11217099034273	warn	Sample_PRO1322_PlateA_A7_R2_val_2.fq.gz	126744.0	pass	pass	fail	warn	84.6229726732375	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A8_R1_val_1	fail	pass	100-126	0.0	125.10663094191213	fail	Sample_PRO1322_PlateA_A8_R1_val_1.fq.gz	15140202.0	pass	pass	fail	warn	23.32677977120934	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A8_R2_val_2	fail	pass	100-126	0.0	125.17646270505506	fail	Sample_PRO1322_PlateA_A8_R2_val_2.fq.gz	15140202.0	pass	pass	fail	warn	22.98659174366164	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A9_R1_val_1	fail	pass	100-126	0.0	125.2059346595681	fail	Sample_PRO1322_PlateA_A9_R1_val_1.fq.gz	24313644.0	pass	pass	fail	warn	31.87228922679945	pass	37.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A9_R2_val_2	fail	pass	100-126	0.0	125.08872824657628	fail	Sample_PRO1322_PlateA_A9_R2_val_2.fq.gz	24313644.0	pass	pass	fail	warn	32.680986014242634	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B10_R1_val_1	pass	pass	100-126	0.0	125.11332504374312	warn	Sample_PRO1322_PlateA_B10_R1_val_1.fq.gz	493792.0	pass	pass	fail	warn	85.14613721293726	fail	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B10_R2_val_2	pass	pass	100-126	0.0	125.08084173093124	warn	Sample_PRO1322_PlateA_B10_R2_val_2.fq.gz	493792.0	pass	pass	fail	warn	85.03849282113772	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B11_R1_val_1	fail	pass	100-126	0.0	125.11475618097101	fail	Sample_PRO1322_PlateA_B11_R1_val_1.fq.gz	16979007.0	pass	pass	fail	warn	24.579052865710874	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B11_R2_val_2	fail	pass	100-126	0.0	125.20534498866748	fail	Sample_PRO1322_PlateA_B11_R2_val_2.fq.gz	16979007.0	pass	pass	fail	warn	24.552766248072842	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B12_R1_val_1	fail	pass	100-126	0.0	125.1545808975389	fail	Sample_PRO1322_PlateA_B12_R1_val_1.fq.gz	18516033.0	pass	pass	fail	warn	39.76954249873127	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B12_R2_val_2	fail	pass	100-126	0.0	125.14710845460256	fail	Sample_PRO1322_PlateA_B12_R2_val_2.fq.gz	18516033.0	pass	pass	fail	warn	40.09631089263492	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B2_R1_val_1	fail	pass	100-126	0.0	125.2684295504038	fail	Sample_PRO1322_PlateA_B2_R1_val_1.fq.gz	18110629.0	pass	pass	fail	warn	20.089582062686464	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B2_R2_val_2	fail	pass	100-126	0.0	125.16580180622108	fail	Sample_PRO1322_PlateA_B2_R2_val_2.fq.gz	18110629.0	pass	pass	fail	warn	21.052228999002484	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B3_R1_val_1	fail	pass	100-126	0.0	124.86146298459911	fail	Sample_PRO1322_PlateA_B3_R1_val_1.fq.gz	9467181.0	pass	pass	fail	warn	19.990269216153553	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B3_R2_val_2	fail	pass	100-126	0.0	124.77035138548635	fail	Sample_PRO1322_PlateA_B3_R2_val_2.fq.gz	9467181.0	pass	pass	fail	warn	20.80275395048503	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B4_R1_val_1	fail	pass	100-126	0.0	125.08677436501961	fail	Sample_PRO1322_PlateA_B4_R1_val_1.fq.gz	17890710.0	pass	pass	fail	warn	22.235722640094437	pass	37.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B4_R2_val_2	fail	pass	100-126	0.0	125.04712048878999	fail	Sample_PRO1322_PlateA_B4_R2_val_2.fq.gz	17890710.0	pass	pass	fail	warn	22.73239898815728	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B5_R1_val_1	fail	pass	100-126	0.0	125.13070457882104	fail	Sample_PRO1322_PlateA_B5_R1_val_1.fq.gz	15648526.0	pass	pass	fail	warn	20.057859933973536	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B5_R2_val_2	fail	pass	100-126	0.0	125.19387385112182	fail	Sample_PRO1322_PlateA_B5_R2_val_2.fq.gz	15648526.0	pass	pass	fail	warn	18.781791558606294	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B6_R1_val_1	fail	pass	100-126	0.0	124.91183338660174	warn	Sample_PRO1322_PlateA_B6_R1_val_1.fq.gz	1307842.0	pass	pass	fail	warn	48.495945197744504	fail	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B6_R2_val_2	fail	pass	100-126	0.0	125.07506640710422	warn	Sample_PRO1322_PlateA_B6_R2_val_2.fq.gz	1307842.0	pass	pass	fail	warn	47.21540462994468	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B7_R1_val_1	fail	pass	100-126	0.0	124.83194329918858	fail	Sample_PRO1322_PlateA_B7_R1_val_1.fq.gz	4132992.0	pass	pass	fail	warn	29.303575013035243	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B7_R2_val_2	fail	pass	100-126	0.0	124.93900472103503	fail	Sample_PRO1322_PlateA_B7_R2_val_2.fq.gz	4132992.0	pass	pass	fail	warn	28.558946273517417	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B8_R1_val_1	fail	pass	100-126	0.0	124.71677523541686	fail	Sample_PRO1322_PlateA_B8_R1_val_1.fq.gz	3611997.0	pass	pass	fail	warn	47.475214862935275	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_B8_R2_val_2	fail	pass	100-126	0.0	124.85932712568699	fail	Sample_PRO1322_PlateA_B8_R2_val_2.fq.gz	3611997.0	pass	pass	fail	warn	47.65076636455737	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C10_R1_val_1	fail	pass	100-126	0.0	125.13761112484436	fail	Sample_PRO1322_PlateA_C10_R1_val_1.fq.gz	13980672.0	pass	pass	fail	warn	27.11366909224862	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C10_R2_val_2	fail	pass	100-126	0.0	125.04860739169047	fail	Sample_PRO1322_PlateA_C10_R2_val_2.fq.gz	13980672.0	pass	pass	fail	warn	28.05572394130047	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C11_R1_val_1	pass	pass	100-126	0.0	125.12706511827496	warn	Sample_PRO1322_PlateA_C11_R1_val_1.fq.gz	447432.0	pass	pass	fail	warn	87.48632228296755	fail	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C11_R2_val_2	pass	pass	100-126	0.0	125.19339028053425	warn	Sample_PRO1322_PlateA_C11_R2_val_2.fq.gz	447432.0	pass	pass	fail	warn	87.28742279151786	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C1_R1_val_1	fail	pass	100-126	0.0	125.06863480093946	fail	Sample_PRO1322_PlateA_C1_R1_val_1.fq.gz	8436755.0	pass	pass	fail	warn	23.13191381578394	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C1_R2_val_2	fail	pass	100-126	0.0	125.05389844792222	fail	Sample_PRO1322_PlateA_C1_R2_val_2.fq.gz	8436755.0	pass	pass	fail	warn	22.619605993481702	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C3_R1_val_1	fail	pass	100-126	0.0	124.85723170258827	fail	Sample_PRO1322_PlateA_C3_R1_val_1.fq.gz	6405988.0	pass	pass	fail	warn	22.514177209612598	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C3_R2_val_2	fail	pass	100-126	0.0	124.9032147734276	fail	Sample_PRO1322_PlateA_C3_R2_val_2.fq.gz	6405988.0	pass	pass	fail	warn	22.065210101967327	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C5_R1_val_1	fail	pass	100-126	0.0	125.19791354848886	fail	Sample_PRO1322_PlateA_C5_R1_val_1.fq.gz	17715341.0	pass	pass	fail	warn	24.121601599021236	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C5_R2_val_2	fail	pass	100-126	0.0	125.11357647589172	fail	Sample_PRO1322_PlateA_C5_R2_val_2.fq.gz	17715341.0	pass	pass	fail	warn	24.97151187522095	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C6_R1_val_1	fail	pass	100-126	0.0	124.89950517672293	fail	Sample_PRO1322_PlateA_C6_R1_val_1.fq.gz	8936928.0	pass	pass	fail	warn	25.788963374862288	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C6_R2_val_2	fail	pass	100-126	0.0	124.93797387648195	fail	Sample_PRO1322_PlateA_C6_R2_val_2.fq.gz	8936928.0	pass	pass	fail	warn	25.48239851726702	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C7_R1_val_1	fail	pass	100-126	0.0	125.06064011340646	fail	Sample_PRO1322_PlateA_C7_R1_val_1.fq.gz	7265900.0	pass	pass	fail	warn	13.733275508489545	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C7_R2_val_2	fail	pass	100-126	0.0	125.00363382375205	fail	Sample_PRO1322_PlateA_C7_R2_val_2.fq.gz	7265900.0	pass	pass	fail	warn	14.158274722602082	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C8_R1_val_1	fail	pass	100-126	0.0	125.1716717485448	fail	Sample_PRO1322_PlateA_C8_R1_val_1.fq.gz	15358823.0	pass	pass	fail	warn	25.898160074753353	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C8_R2_val_2	fail	pass	100-126	0.0	125.24317853002147	fail	Sample_PRO1322_PlateA_C8_R2_val_2.fq.gz	15358823.0	pass	pass	fail	warn	25.552038992980858	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C9_R1_val_1	fail	pass	100-126	0.0	125.02285959184746	fail	Sample_PRO1322_PlateA_C9_R1_val_1.fq.gz	15894597.0	pass	pass	fail	warn	20.740910348487375	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_C9_R2_val_2	fail	pass	100-126	0.0	125.1170123407344	fail	Sample_PRO1322_PlateA_C9_R2_val_2.fq.gz	15894597.0	pass	pass	fail	warn	20.732456887892486	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D10_R1_val_1	fail	pass	100-126	0.0	125.11162323440242	fail	Sample_PRO1322_PlateA_D10_R1_val_1.fq.gz	16873324.0	pass	pass	fail	warn	27.742379783260816	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D10_R2_val_2	fail	pass	100-126	0.0	125.10527315186978	fail	Sample_PRO1322_PlateA_D10_R2_val_2.fq.gz	16873324.0	pass	pass	fail	warn	28.379403260508496	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D11_R1_val_1	pass	pass	124-125	0.0	124.33333333333333	pass	Sample_PRO1322_PlateA_D11_R1_val_1.fq.gz	3.0	warn		fail	warn	100.0	pass	43.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D11_R2_val_2	pass	pass	124-125	0.0	124.33333333333333	pass	Sample_PRO1322_PlateA_D11_R2_val_2.fq.gz	3.0	fail		fail	warn	100.0	pass	35.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D12_R1_val_1	pass	pass	124.0	0.0	124.0	pass	Sample_PRO1322_PlateA_D12_R1_val_1.fq.gz	2.0	warn		fail	pass	100.0	pass	26.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D12_R2_val_2	pass	pass	124-125	0.0	124.5	pass	Sample_PRO1322_PlateA_D12_R2_val_2.fq.gz	2.0	fail		fail	warn	100.0	pass	24.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D1_R1_val_1	fail	pass	100-126	0.0	125.0029014471429	fail	Sample_PRO1322_PlateA_D1_R1_val_1.fq.gz	2708993.0	pass	pass	fail	warn	43.48489190136165	fail	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D1_R2_val_2	fail	pass	100-126	0.0	125.12883421994815	fail	Sample_PRO1322_PlateA_D1_R2_val_2.fq.gz	2708993.0	pass	pass	fail	warn	40.471855002104604	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D2_R1_val_1	fail	pass	100-126	0.0	125.04995873596539	fail	Sample_PRO1322_PlateA_D2_R1_val_1.fq.gz	13946770.0	pass	pass	fail	warn	31.81505966284877	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D2_R2_val_2	fail	pass	100-126	0.0	125.18898182159741	fail	Sample_PRO1322_PlateA_D2_R2_val_2.fq.gz	13946770.0	pass	pass	fail	warn	30.73920839383783	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D3_R1_val_1	fail	pass	100-126	0.0	124.95282515422545	fail	Sample_PRO1322_PlateA_D3_R1_val_1.fq.gz	5949569.0	pass	pass	fail	warn	21.449737900083925	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D3_R2_val_2	fail	pass	100-126	0.0	124.93477359452424	fail	Sample_PRO1322_PlateA_D3_R2_val_2.fq.gz	5949569.0	pass	pass	fail	warn	21.38035950977021	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D4_R1_val_1	fail	pass	100-126	0.0	124.89279959485094	fail	Sample_PRO1322_PlateA_D4_R1_val_1.fq.gz	12364832.0	pass	pass	fail	warn	15.301161223896258	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D4_R2_val_2	fail	pass	100-126	0.0	124.88955345288961	fail	Sample_PRO1322_PlateA_D4_R2_val_2.fq.gz	12364832.0	pass	pass	fail	warn	15.187783203619903	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D5_R1_val_1	fail	pass	100-126	0.0	124.9704008551195	fail	Sample_PRO1322_PlateA_D5_R1_val_1.fq.gz	13162137.0	pass	pass	fail	warn	19.166616820042805	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D5_R2_val_2	fail	pass	100-126	0.0	125.07303160573393	fail	Sample_PRO1322_PlateA_D5_R2_val_2.fq.gz	13162137.0	pass	pass	fail	warn	18.497605883169342	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D6_R1_val_1	fail	pass	100-126	0.0	124.76329887484455	fail	Sample_PRO1322_PlateA_D6_R1_val_1.fq.gz	13264656.0	pass	pass	fail	warn	21.879634508310765	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D6_R2_val_2	fail	pass	100-126	0.0	125.02729132214209	fail	Sample_PRO1322_PlateA_D6_R2_val_2.fq.gz	13264656.0	pass	pass	fail	warn	21.591606614498932	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D7_R1_val_1	fail	pass	100-126	0.0	125.06452381714635	fail	Sample_PRO1322_PlateA_D7_R1_val_1.fq.gz	16023897.0	pass	pass	fail	warn	18.677646871946727	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D7_R2_val_2	fail	pass	100-126	0.0	125.14520656242361	fail	Sample_PRO1322_PlateA_D7_R2_val_2.fq.gz	16023897.0	pass	pass	fail	warn	18.35755734748213	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D8_R1_val_1	pass	pass	100-126	0.0	125.0628816966625	warn	Sample_PRO1322_PlateA_D8_R1_val_1.fq.gz	104959.0	pass	pass	fail	warn	90.75829609657104	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D8_R2_val_2	pass	pass	100-126	0.0	125.16015777589344	warn	Sample_PRO1322_PlateA_D8_R2_val_2.fq.gz	104959.0	pass	pass	fail	warn	90.48866700330606	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D9_R1_val_1	fail	pass	100-126	0.0	125.08926576029775	fail	Sample_PRO1322_PlateA_D9_R1_val_1.fq.gz	23839667.0	pass	pass	fail	warn	18.270688689378595	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_D9_R2_val_2	fail	pass	100-126	0.0	125.0591069078272	fail	Sample_PRO1322_PlateA_D9_R2_val_2.fq.gz	23839667.0	pass	pass	fail	warn	19.05906437931196	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E10_R1_val_1	pass	pass	100-126	0.0	125.09702780917367	warn	Sample_PRO1322_PlateA_E10_R1_val_1.fq.gz	161026.0	pass	pass	fail	warn	81.6785580819496	fail	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E10_R2_val_2	pass	pass	100-126	0.0	125.21411449082757	fail	Sample_PRO1322_PlateA_E10_R2_val_2.fq.gz	161026.0	pass	pass	fail	warn	81.32932679307115	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E11_R1_val_1	fail	pass	100-126	0.0	124.98122192644988	fail	Sample_PRO1322_PlateA_E11_R1_val_1.fq.gz	17082583.0	pass	pass	fail	warn	30.464717798891193	fail	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E11_R2_val_2	fail	pass	100-126	0.0	125.11752127883705	fail	Sample_PRO1322_PlateA_E11_R2_val_2.fq.gz	17082583.0	pass	pass	fail	warn	27.959906532581414	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E1_R1_val_1	fail	pass	100-126	0.0	125.15326506728285	fail	Sample_PRO1322_PlateA_E1_R1_val_1.fq.gz	16885211.0	pass	pass	fail	warn	21.91254107990828	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E1_R2_val_2	fail	pass	100-126	0.0	125.17169741023669	fail	Sample_PRO1322_PlateA_E1_R2_val_2.fq.gz	16885211.0	pass	pass	fail	warn	21.727260723266347	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
