Sample	per_tile_sequence_quality	Sequences flagged as poor quality	per_base_sequence_content	sequence_length_distribution	avg_sequence_length	overrepresented_sequences	basic_statistics	Encoding	File type	adapter_content	Filename	total_deduplicated_percentage	kmer_content	per_sequence_quality_scores	Total Sequences	%GC	per_base_n_content	sequence_duplication_levels	Sequence length	per_base_sequence_quality	per_sequence_gc_content
Sample_PRO1747_PlateG_A3_R1	pass	0.0	fail	warn	124.87729073752229	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A3_R1.fastq.gz	74.93263446971233	fail	pass	15119421.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A3_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A3_R2.fastq.gz	46.4875087997094	fail	pass	15119421.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_A4_R1	pass	0.0	fail	warn	124.95214282508574	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A4_R1.fastq.gz	77.90450783820248	fail	pass	10895733.0	32.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A4_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A4_R2.fastq.gz	47.17425548956434	fail	pass	10895733.0	32.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_A5_R1	pass	0.0	fail	warn	124.95815139488924	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A5_R1.fastq.gz	77.66346105992208	fail	pass	15562956.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A5_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A5_R2.fastq.gz	56.20920171519186	fail	pass	15562956.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_A6_R1	pass	0.0	fail	warn	124.92301544785208	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A6_R1.fastq.gz	75.01592989944866	fail	pass	12210047.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A6_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A6_R2.fastq.gz	47.80648690896523	fail	pass	12210047.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_A7_R1	pass	0.0	fail	warn	124.86630719957742	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A7_R1.fastq.gz	73.50874775740466	fail	pass	15084552.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A7_R2	pass	0.0	fail	pass	126.0	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A7_R2.fastq.gz	49.041345079951235	fail	pass	15084552.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_A8_R1	pass	0.0	fail	warn	124.880161675066	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A8_R1.fastq.gz	77.1856799054511	fail	pass	12478362.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A8_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A8_R2.fastq.gz	51.30037224148506	fail	pass	12478362.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_A9_R1	pass	0.0	fail	warn	124.85868644565484	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A9_R1.fastq.gz	79.20959130147554	fail	pass	18049592.0	33.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A9_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A9_R2.fastq.gz	56.979690961430485	fail	pass	18049592.0	33.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_B10_R1	pass	0.0	fail	warn	124.88976887068677	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B10_R1.fastq.gz	68.86134857257893	fail	pass	8166078.0	33.0	pass	warn	120-126	fail	pass
Sample_PRO1747_PlateG_B10_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B10_R2.fastq.gz	37.8507478576994	fail	pass	8166078.0	33.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B11_R1	pass	0.0	fail	warn	124.95059529354315	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B11_R1.fastq.gz	71.60742290626723	fail	pass	12184325.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B11_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B11_R2.fastq.gz	40.33354200050286	fail	pass	12184325.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B12_R1	pass	0.0	fail	warn	124.92995682621964	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B12_R1.fastq.gz	74.08274174497672	fail	pass	12088587.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B12_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B12_R2.fastq.gz	44.61565617114475	fail	pass	12088587.0	35.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B1_R1	pass	0.0	fail	warn	124.90888691437335	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B1_R1.fastq.gz	77.0382871071861	fail	pass	17623451.0	33.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B1_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B1_R2.fastq.gz	49.979763617843936	fail	pass	17623451.0	33.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B2_R1	pass	0.0	fail	warn	124.87876137907796	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B2_R1.fastq.gz	62.774567724247355	fail	pass	17379264.0	32.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_B2_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B2_R2.fastq.gz	33.04105488269519	fail	pass	17379264.0	32.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B3_R1	pass	0.0	fail	warn	124.8762875958599	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B3_R1.fastq.gz	60.48655555496614	fail	pass	13459095.0	34.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_B3_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B3_R2.fastq.gz	31.248436424995752	fail	pass	13459095.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B4_R1	pass	0.0	fail	warn	124.87944343673287	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B4_R1.fastq.gz	64.86440023091806	fail	pass	14922149.0	34.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_B4_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B4_R2.fastq.gz	35.16211238679624	fail	pass	14922149.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_B5_R1	pass	0.0	fail	warn	124.98862663111164	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B5_R1.fastq.gz	80.78755206939519	fail	pass	10427781.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B5_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B5_R2.fastq.gz	53.599368924843525	fail	pass	10427781.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_B6_R1	pass	0.0	fail	warn	124.97813527401405	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B6_R1.fastq.gz	80.7904313801933	fail	pass	9666986.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B6_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B6_R2.fastq.gz	55.56832856200153	fail	pass	9666986.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_B7_R1	pass	0.0	fail	warn	124.87302478755139	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B7_R1.fastq.gz	59.048371535891405	fail	pass	10907814.0	30.0	pass	warn	120-126	pass	warn
Sample_PRO1747_PlateG_B7_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B7_R2.fastq.gz	31.24717295198616	fail	pass	10907814.0	30.0	pass	fail	126.0	pass	warn
Sample_PRO1747_PlateG_B8_R1	pass	0.0	fail	warn	125.23637647612696	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B8_R1.fastq.gz	93.04032882934536	fail	pass	968582.0	36.0	pass	pass	120-126	pass	warn
Sample_PRO1747_PlateG_B8_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B8_R2.fastq.gz	76.02755824605715	warn	pass	968582.0	35.0	pass	pass	126.0	pass	warn
Sample_PRO1747_PlateG_B9_R1	pass	0.0	fail	warn	124.85862016292906	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B9_R1.fastq.gz	73.7967617210091	fail	pass	16340364.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_B9_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_B9_R2.fastq.gz	44.930659848703556	fail	pass	16340364.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_C10_R1	pass	0.0	fail	warn	124.87021217800888	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C10_R1.fastq.gz	70.89572481912127	fail	pass	14319533.0	35.0	pass	pass	120-126	pass	warn
Sample_PRO1747_PlateG_C10_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C10_R2.fastq.gz	43.439268232972914	fail	pass	14319533.0	35.0	pass	fail	126.0	pass	warn
Sample_PRO1747_PlateG_C11_R1	pass	0.0	fail	warn	124.88898987439956	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C11_R1.fastq.gz	72.65871858825055	fail	pass	12910543.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C11_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C11_R2.fastq.gz	45.28179997826798	fail	pass	12910543.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_C12_R1	pass	0.0	fail	warn	124.88289313749335	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C12_R1.fastq.gz	67.86382858518549	fail	pass	13930012.0	35.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_C12_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C12_R2.fastq.gz	40.15140164992049	fail	pass	13930012.0	35.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_C1_R1	pass	0.0	fail	warn	124.92215271607108	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C1_R1.fastq.gz	61.80489300038463	fail	pass	14358921.0	33.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_C1_R2	pass	0.0	fail	pass	126.0	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C1_R2.fastq.gz	32.14064894760453	fail	pass	14358921.0	33.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_C2_R1	pass	0.0	warn	warn	124.93380608269656	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C2_R1.fastq.gz	84.66255463319285	fail	pass	9696752.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C2_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C2_R2.fastq.gz	64.77645323396086	fail	pass	9696752.0	35.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C3_R1	pass	0.0	warn	warn	124.88726926486252	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C3_R1.fastq.gz	75.41400957221192	fail	pass	9735730.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C3_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C3_R2.fastq.gz	47.508711477348896	fail	pass	9735730.0	35.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_C4_R1	pass	0.0	fail	warn	124.89980508207246	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C4_R1.fastq.gz	76.97244906438122	fail	pass	12163581.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C4_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C4_R2.fastq.gz	55.384951495071775	fail	pass	12163581.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C5_R1	pass	0.0	fail	warn	124.90684032211244	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C5_R1.fastq.gz	78.12322132337817	fail	pass	14778690.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C5_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C5_R2.fastq.gz	59.12251301007427	fail	pass	14778690.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C6_R1	pass	0.0	warn	warn	124.91382765171721	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C6_R1.fastq.gz	80.96822451246565	fail	pass	8923048.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C6_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C6_R2.fastq.gz	55.18239351849354	fail	pass	8923048.0	35.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C7_R1	pass	0.0	fail	warn	124.85264828177482	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C7_R1.fastq.gz	77.18503619354836	fail	pass	15328637.0	32.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C7_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C7_R2.fastq.gz	51.72417736562325	fail	pass	15328637.0	32.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C8_R1	pass	0.0	fail	warn	124.88543206978302	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C8_R1.fastq.gz	77.56659632490239	fail	pass	10990065.0	32.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C8_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C8_R2.fastq.gz	50.315278419297435	fail	pass	10990065.0	32.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_C9_R1	pass	0.0	fail	warn	124.88717220197356	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C9_R1.fastq.gz	74.57831451770066	fail	pass	11965943.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_C9_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_C9_R2.fastq.gz	44.926295641759715	fail	pass	11965943.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D10_R1	pass	0.0	fail	warn	124.93435554152673	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D10_R1.fastq.gz	71.67507098441727	fail	pass	6329826.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D10_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D10_R2.fastq.gz	40.394485662258	fail	pass	6329826.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D11_R1	pass	0.0	fail	warn	124.88683115990949	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D11_R1.fastq.gz	71.54380373803895	fail	pass	13147612.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D11_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D11_R2.fastq.gz	41.217711317654896	fail	pass	13147612.0	35.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D12_R1	pass	0.0	fail	warn	124.90120328196116	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D12_R1.fastq.gz	70.18748198618022	fail	pass	13552019.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D12_R2	pass	0.0	fail	pass	126.0	fail	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D12_R2.fastq.gz	41.71179225062458	fail	pass	13552019.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D1_R1	pass	0.0	fail	warn	124.95489731565864	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D1_R1.fastq.gz	78.70929088472718	fail	pass	9976302.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D1_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D1_R2.fastq.gz	52.19549692424156	fail	pass	9976302.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_D2_R1	pass	0.0	fail	warn	124.91425788116679	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D2_R1.fastq.gz	69.65466909179673	fail	pass	9992207.0	34.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_D2_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D2_R2.fastq.gz	37.50850026510525	fail	pass	9992207.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D3_R1	pass	0.0	fail	warn	124.88091291705229	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D3_R1.fastq.gz	72.15514222288434	fail	pass	15519307.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D3_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D3_R2.fastq.gz	46.10039812350749	fail	pass	15519307.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D4_R1	pass	0.0	fail	warn	124.88753826214135	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D4_R1.fastq.gz	75.01479222173765	fail	pass	12578687.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D4_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D4_R2.fastq.gz	47.75638114103696	fail	pass	12578687.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D5_R1	pass	0.0	fail	warn	124.98841152941824	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D5_R1.fastq.gz	80.85484757070651	fail	pass	10428037.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D5_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D5_R2.fastq.gz	58.11464576932146	fail	pass	10428037.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_D6_R1	pass	0.0	fail	warn	124.93128888331633	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D6_R1.fastq.gz	81.51333776874316	fail	pass	11277491.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D6_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D6_R2.fastq.gz	59.26841469362088	fail	pass	11277491.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_D7_R1	pass	0.0	fail	warn	124.87648202177975	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D7_R1.fastq.gz	75.36400727524382	fail	pass	12884173.0	35.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D7_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D7_R2.fastq.gz	47.41721471092157	fail	pass	12884173.0	35.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D8_R1	pass	0.0	fail	warn	124.87347981836025	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D8_R1.fastq.gz	72.35339981024865	fail	pass	11035030.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_D8_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D8_R2.fastq.gz	42.391463857852955	fail	pass	11035030.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_D9_R1	pass	0.0	fail	warn	124.87240721192475	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D9_R1.fastq.gz	66.7250017977868	fail	pass	12922431.0	32.0	pass	warn	120-126	pass	pass
Sample_PRO1747_PlateG_D9_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_D9_R2.fastq.gz	35.984653325738165	fail	pass	12922431.0	32.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_E10_R1	pass	0.0	warn	warn	124.95939978304772	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_E10_R1.fastq.gz	73.79455499515967	fail	pass	3012644.0	35.0	pass	pass	120-126	fail	warn
Sample_PRO1747_PlateG_E10_R2	pass	0.0	fail	pass	126.0	pass	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_E10_R2.fastq.gz	41.15734050236052	fail	pass	3012644.0	35.0	pass	fail	126.0	pass	pass
