Sample	r_processed	percent_trimmed	bp_processed	bp_written	r_with_adapters	quality_trimmed
Sample_IPO3917_F5_R2	9983519	5.368995307833507	1257923394	1190385546	3095010	30367122
Sample_IPO3917_F6_R1	6724818	3.2077785575947164	847327068	820146692	1828476	11214417
Sample_IPO3917_F6_R2	6724818	4.2283418473301975	847327068	811499183	1871317	20696160
Sample_IPO3917_F7_R1	5690459	4.377839584937993	716997834	685608819	1744485	10478289
Sample_IPO3917_F7_R2	5690459	4.9911650081776955	716997834	681211289	1784456	15867177
Sample_IPO3917_F8_R1	8831420	3.48972884441133	1112758920	1073926651	2612269	13129267
Sample_IPO3917_F8_R2	8831420	4.643189020673049	1112758920	1061091420	2670366	27455881
Sample_IPO3917_F9_R1	7957219	3.8963850170378485	1002609594	963544064	2191906	14527714
Sample_IPO3917_F9_R2	7957219	4.405626503510199	1002609594	958438360	2249089	20794605
Sample_IPO3917_G10_R1	33781668	10.911972838368836	4256490168	3792023117	16129153	52896507
Sample_IPO3917_G10_R2	33781668	11.406377527899414	4256490168	3770978830	16234176	80997046
Sample_IPO3917_G11_R1	10959998	3.9279899416735207	1380959748	1326715788	3239603	22341913
Sample_IPO3917_G11_R2	10959998	4.436927874888356	1380959748	1319687560	3329688	30857412
Sample_IPO3917_G12_R1	9406576	3.2121766021274194	1185228576	1147156941	2567318	15243713
Sample_IPO3917_G12_R2	9406576	4.112787861098617	1185228576	1136482639	2646058	27014501
Sample_IPO3917_G1_R1	7126095	5.468981948828204	897887970	848782639	2348811	11856070
Sample_IPO3917_G1_R2	7126095	6.368621020727118	897887970	840704888	2403009	22310844
Sample_IPO3917_G2_R1	7859034	5.92914280821726	990238284	931525642	2600666	14932392
Sample_IPO3917_G2_R2	7859034	6.347697722420112	990238284	927380951	2646013	21120647
Sample_IPO3917_G3_R1	7890449	5.839571923529883	994196574	936139750	2704982	13015850
Sample_IPO3917_G3_R2	7890449	6.657036619399978	994196574	928012544	2748151	23945314
Sample_IPO3917_G4_R1	10301391	2.6979394690561076	1297975266	1262956679	2902683	10824837
Sample_IPO3917_G4_R2	10301391	4.33789398572407	1297975266	1241670475	2978760	33901722
Sample_IPO3917_G5_R1	115207240	15.818833039003838	14516112240	12219832681	69374611	181730345
Sample_IPO3917_G5_R2	115207240	16.144708137087264	14516112240	12172528286	69539664	257496925
Sample_IPO3917_G6_R1	6040752	3.262062063880115	761134752	736306064	1672937	9699565
Sample_IPO3917_G6_R2	6040752	4.409591194175299	761134752	727571821	1712067	19364798
Sample_IPO3917_G7_R1	12316984	4.4831161460687	1551939984	1482364712	3654932	25211604
Sample_IPO3917_G7_R2	12316984	4.964451898547129	1551939984	1474894670	3754932	34965785
Sample_IPO3917_G8_R1	14409063	3.732206763267839	1815541938	1747782159	4419841	17583761
Sample_IPO3917_G8_R2	14409063	5.238601213738528	1815541938	1720432936	4502389	48142422
Sample_IPO3917_G9_R1	10580448	3.686807833791969	1333136448	1283986269	2972264	20957088
Sample_IPO3917_G9_R2	10580448	4.200330887660195	1333136448	1277140306	3057556	29011270
Sample_IPO3917_H10_R1	7989029	2.4421615200482067	1006617654	982034425	2042870	11899111
Sample_IPO3917_H10_R2	7989029	3.1099952276418152	1006617654	975311893	2127503	19156709
Sample_IPO3917_H11_R1	9393511	3.5834202588411954	1183582386	1141169655	2799247	12640597
Sample_IPO3917_H11_R2	9393511	4.441900760087857	1183582386	1131008831	2865491	24261720
Sample_IPO3917_H12_R1	102883852	19.756505347624643	12963365352	10402257383	70510276	203634063
Sample_IPO3917_H12_R2	102883852	20.01381978021412	12963365352	10368900773	70653637	261354031
Sample_IPO3917_H1_R1	5778597	4.145928501329994	728103222	697916583	1817610	9200532
Sample_IPO3917_H1_R2	5778597	5.087213444579429	728103222	691063057	1862838	17311146
Sample_IPO3917_H2_R1	6095884	3.9377970394866386	768081384	737835898	1829891	9034800
Sample_IPO3917_H2_R2	6095884	4.988060744354663	768081384	729769018	1869036	18447198
Sample_IPO3917_H3_R1	5850455	6.1034782086478065	737157330	692165093	2018860	10368894
Sample_IPO3917_H3_R2	5850455	6.879342432910489	737157330	686445753	2045210	18141877
Sample_IPO3917_H4_R1	55638873	16.888606235074484	7010497998	5826522596	33845153	88285668
Sample_IPO3917_H4_R2	55638873	17.31467265729615	7010497998	5796653218	33924739	134871958
Sample_IPO3917_H5_R1	10672487	3.5869513885087945	1344733362	1296498430	2905632	18786900
Sample_IPO3917_H5_R2	10672487	4.712428559499069	1344733362	1281363763	2967159	35871589
Sample_IPO3917_H6_R1	8084045	3.912712957318721	1018589670	978735180	2357982	14591586
Sample_IPO3917_H6_R2	8084045	4.792086787999725	1018589670	969777969	2421621	25048847
Sample_IPO3917_H7_R1	4757254	5.114097734693566	599414004	568759386	1541088	10060239
Sample_IPO3917_H7_R2	4757254	5.445397468558308	599414004	566773529	1570336	12958933
Sample_IPO3917_H8_R1	11528402	4.529112341656526	1452578652	1386789733	3605525	17990998
Sample_IPO3917_H8_R2	11528402	5.099033701068051	1452578652	1378511177	3690493	28644685
Sample_IPO3917_H9_R1	4399885	3.468615007632505	554385510	535156011	1260799	7339743
Sample_IPO3917_H9_R2	4399885	4.45601978305674	554385510	529681982	1294794	13436281
